t,quantum,M1,M3,M5_noisy
8.4,-0.27500563604867606,-0.04602849341297535,-0.16383372092635473,-0.3076518770479665
8.533333333333333,-0.28357057703812594,-0.0489590421438923,-0.15418168604733504,-0.28961234536522346
8.666666666666666,-0.28687494672229463,-0.050243737374320176,-0.14056360233146736,-0.26317426292831647
8.8,-0.28489804632785093,-0.04999987842830284,-0.12365531553730275,-0.2310414137767307
8.933333333333334,-0.27769484906098824,-0.04838206441052838,-0.10411960149972466,-0.19519884668085696
9.066666666666666,-0.26538194430824186,-0.04557272500090439,-0.08257146579130274,-0.15649400064159125
9.2,-0.24813074968264007,-0.041771687841556174,-0.05961796609899097,-0.11486783440821995
9.333333333333334,-0.22617001472879567,-0.03718667217236661,-0.035932273896238674,-0.07006711709903558
9.466666666666667,-0.19979634558365267,-0.032024992690027676,-0.012278726237106968,-0.02234373878701163
9.6,-0.16938860820640375,-0.026485855208818295,0.01054812552708682,0.027201658795662723
9.733333333333333,-0.1354204598386208,-0.020754121848607945,0.03182382075337901,0.07657604756877842
9.866666666666667,-0.09846544208581497,-0.014997721452428581,0.05096006483533787,0.12312606705115604
10.0,-0.05919105522902728,-0.009368642985420346,0.06750476344260707,0.16412670195599485
10.133333333333333,-0.01834144498025792,-0.00400472129484486,0.08110668548851138,0.1975800192701959
10.266666666666666,0.02328826822823387,0.0009699952390936675,0.09150279202623432,0.22272495468006837
10.4,0.06488061459296321,0.00544756677713867,0.09854121062843282,0.23983729562416098
10.533333333333333,0.1056215394648392,0.009342462272964779,0.10219794278316463,0.24959587797111055
10.666666666666666,0.14471918390715582,0.012600111606479216,0.10256639353746638,0.2525766564857389
10.8,0.18141454350039915,0.015201062634178126,0.09984128216255575,0.24914596871776065
10.933333333333334,0.21498582579527933,0.017154743565867107,0.09430867321423231,0.23954066283629408
11.066666666666666,0.2447501832881851,0.018485157833310076,0.08633934887281929,0.22381212297013758
11.2,0.27006687879834884,0.01921804608381485,0.07638326982564626,0.20192649288058914
11.333333333333334,0.2903450832522138,0.019376619805676072,0.06494990522243102,0.17431656516333813
11.466666666666667,0.30505788508742515,0.018984855136377973,0.05257043354452222,0.14236042490886058
11.6,0.3137621146155925,0.018073685150709746,0.039765043657215685,0.10819123771054302
11.733333333333333,0.316121610154808,0.016687602918470858,0.02702337649509112,0.07396198427480905
11.866666666666667,0.31193007150987,0.01489036059928425,0.014782421825072284,0.041121760200786985
12.0,0.3011292697533711,0.012767124387479978,0.0033949593385168664,0.010183251326601072
12.133333333333333,0.2838194029227379,0.010421268071270685,-0.0068973719781632225,-0.018926663246620394
12.266666666666666,0.26026038160485987,0.007966702302533669,-0.015963558853761113,-0.04624940183245203
12.4,0.23086484250890674,0.005517298752478794,-0.023747577867460165,-0.07146738129946703
12.533333333333333,0.19618492164777682,0.0031746624710164407,-0.030209810414395254,-0.09405676183057922
12.666666666666666,0.15689514005115565,0.001017001406515662,-0.03527182726407549,-0.11358224828808215
12.8,0.11377358249792348,-0.0009068985368127765,-0.03880445826213153,-0.12986997601170222
12.933333333333334,0.06768329208498594,-0.0025763160111962184,-0.04068926227090598,-0.1429977886905438
13.066666666666666,0.019555437937975265,-0.003990404971970546,-0.040928935510305,-0.15311405369100928
13.2,-0.029624987825048174,-0.005155603131241496,-0.039723841498007756,-0.16023706408866684
13.333333333333334,-0.07883153014453728,-0.006072938461442755,-0.03744923042089492,-0.16424835067767574
13.466666666666667,-0.1270086962611994,-0.006731240374415379,-0.0345492462921654,-0.16497732192011538
13.6,-0.17308718215678545,-0.007110824348928923,-0.031420090607378375,-0.1624146495584244
13.733333333333333,-0.21600421075418824,-0.007196163011345691,-0.028342238996753703,-0.15713800970218775
13.866666666666667,-0.25472992118557014,-0.006989513620559807,-0.025465362436231292,-0.15032190751294966
14.0,-0.28829904432053266,-0.006517148907725085,-0.022823022642554376,-0.14295955279163236
14.133333333333333,-0.31584556246263445,-0.005826051316738365,-0.0203730630253065,-0.13494025796334813
14.266666666666666,-0.33663688122083574,-0.004974976826404963,-0.01806394544254503,-0.12488043236082474
14.4,-0.3501033807777505,-0.004025597758799197,-0.015902496837484837,-0.11085606892809666
14.533333333333333,-0.35585937285479535,-0.0030373360727286697,-0.013975371263696537,-0.0916041470111776
14.666666666666666,-0.3537128018014129,-0.0020648927630710946,-0.012394752630477452,-0.06757153100096991
14.799999999999999,-0.34366344115297415,-0.0011547971103189377,-0.011205597081140599,-0.041071244565758024
14.933333333333334,-0.3258921501175199,-0.00034013850832530115,-0.01033618744816078,-0.015222416724210442
15.066666666666666,-0.3007458198211502,0.0003627371784874278,-0.009626452904992281,0.007750804776611111
15.2,-0.2687229905374594,0.0009513752083803802,-0.00889983148011509,0.027643039914978854
15.333333333333334,-0.23046357496809136,0.0014285700950024624,-0.008029543168227413,0.04602001246146173
15.466666666666667,-0.1867433498146215,0.0017931581545165196,-0.006960460927630209,0.06497714610433702
15.6,-0.13847096315832244,0.0020358498508128405,-0.005678893927610681,0.08573273060308283
15.733333333333333,-0.08668314906302885,0.0021416368564229375,-0.0041641415449605035,0.10773839971800817
15.866666666666667,-0.032533283434920006,0.002096188352502012,-0.0023617717473986763,0.12872692036079816
16.0,0.02273047776948892,0.0018923280876802374,-0.0001869940569762845,0.1457116208617968
16.133333333333333,0.07779878365723635,0.001533399223751167,0.0024484441028631097,0.156432807923837
16.266666666666666,0.13134458516668857,0.001032708507642016,0.00558153355898075,0.1603832120581674
16.4,0.18207182184833812,0.0004115537414481669,0.009133664423915538,0.15881490239048937
16.53333333333333,0.22876278547654988,-0.0003014398997803496,0.012892962235062581,0.15379305253444522
16.666666666666668,0.27031770167156727,-0.001070802298050976,0.01656819987728127,0.14696371533482322
16.8,0.3057821614064418,-0.0018577609489470002,0.01986988270981126,0.13875388652972548
16.933333333333334,0.33436155811729956,-0.0026271336295788953,0.022561797909217442,0.1282685933772994
17.066666666666666,0.35542536927975216,-0.003353824683915471,0.02447015964558605,0.1138685128715121
17.2,0.36850654012680073,-0.00402437270303345,0.025476821639747384,0.0943100845838843
17.333333333333332,0.3733014835459487,-0.004631771355401184,0.025521438049146472,0.06986954598942384
17.466666666666665,0.3696743798727458,-0.005166303258367577,0.024611477326691923,0.04243886078537257
17.6,0.35766647935410967,-0.0056083268200333,0.022829411500578177,0.014505628956400615
17.733333333333334,0.33750815536187206,-0.005927925084138154,0.020334169058817037,-0.012027453958140996
17.866666666666667,0.3096293556276156,-0.006091184651350406,0.017344190345240373,-0.03638324056780861
18.0,0.2746632439923605,-0.006068479256026683,0.014089049801231601,-0.058639160114391915
18.133333333333333,0.23343842776576637,-0.005840668250587086,0.01074806293827326,-0.07914193512765925
18.266666666666666,0.1869573026362874,-0.005402212002222038,0.00740918089738108,-0.0979279429320533
18.4,0.13636134399429936,-0.004761982543770639,0.004081751491316352,-0.11429686525748853
18.53333333333333,0.0828875790092477,-0.00394303029143271,0.0007737242693024985,-0.12696634794145017
18.666666666666668,0.0278225982251933,-0.002982452058451985,-0.0024214592325751605,-0.13472563230868181
18.8,-0.027539619582625276,-0.0019309461758462837,-0.005306707470490384,-0.1369747373859924
18.933333333333334,-0.08193193981626117,-0.0008491763905327334,-0.007641679913628838,-0.13382365984485953
19.066666666666666,-0.1341393215500439,0.00020169420305454633,-0.009224202345220419,-0.1257284762363725
19.2,-0.18301675791451005,0.0011733089496694343,-0.009948400506312285,-0.1130366172881773
19.333333333333332,-0.22750314716436934,0.0020407257290532737,-0.009831585051754257,-0.09592164187536838
19.466666666666665,-0.2666346797101163,0.002804531023715006,-0.009003478072439446,-0.07460986185222446
19.6,-0.2995606700487772,0.003483601846555125,-0.007654791903427609,-0.04962387822451982
19.733333333333334,-0.3255632545302637,0.004101980597645862,-0.0059690253229340235,-0.02190311534347328
19.866666666666667,-0.3440802201733104,0.004675554910151449,-0.0040779411686138484,0.007116850101422983
20.0,-0.3547280066819944,0.005204283892371462,-0.002070336380188667,0.03555860597990115
