time,q,p,pop_lower,pop_upper,mean_energy
1590.0,5.900934499707717,20.013863775877716,0.4775924478911792,0.5224075521088212,0.1005868012860141
1592.0,5.92094836342729,20.013863663869433,0.47759244789117905,0.5224075521088212,0.10058680128601413
1594.0,5.94096222703663,20.01386355539108,0.4775924478911789,0.5224075521088212,0.10058680128601417
1596.0,5.960976090539211,20.013863450331407,0.4775924478911788,0.5224075521088212,0.10058680128601415
1598.0,5.980989953938397,20.013863348582674,0.4775924478911789,0.5224075521088213,0.10058680128601408
1600.0,6.001003817237445,20.01386325004055,0.47759244789117905,0.5224075521088213,0.10058680128601409
1602.0,6.021017680439512,20.013863154603968,0.4775924478911789,0.5224075521088212,0.10058680128601405
1604.0,6.041031543547655,20.013863062175062,0.4775924478911788,0.5224075521088214,0.10058680128601405
1606.0,6.0610454065648325,20.013862972659037,0.4775924478911786,0.5224075521088214,0.10058680128601398
1608.0,6.081059269493913,20.013862885964116,0.47759244789117844,0.5224075521088214,0.10058680128601408
1610.0,6.101073132337672,20.013862802001373,0.47759244789117844,0.5224075521088216,0.1005868012860141
1612.0,6.121086995098798,20.01386272068471,0.4775924478911783,0.5224075521088216,0.10058680128601419
1614.0,6.141100857779895,20.013862641930725,0.47759244789117844,0.5224075521088217,0.10058680128601416
1616.0,6.161114720383485,20.013862565658663,0.4775924478911783,0.5224075521088217,0.10058680128601412
1618.0,6.181128582912012,20.01386249179031,0.4775924478911783,0.5224075521088217,0.10058680128601413
1620.0,6.201142445367841,20.01386242024991,0.47759244789117816,0.5224075521088217,0.10058680128601415
1622.0,6.221156307753263,20.0138623509641,0.4775924478911783,0.5224075521088217,0.10058680128601413
1624.0,6.241170170070497,20.01386228386182,0.4775924478911783,0.522407552108822,0.10058680128601408
1626.0,6.261184032321694,20.01386221887426,0.47759244789117844,0.5224075521088217,0.10058680128601402
1628.0,6.28119789450893,20.013862155934778,0.4775924478911783,0.522407552108822,0.100586801286014
1630.0,6.301211756634223,20.013862094978826,0.47759244789117816,0.522407552108822,0.10058680128601394
1632.0,6.3212256186995255,20.013862035943898,0.47759244789117816,0.522407552108822,0.10058680128601391
1634.0,6.3412394807067285,20.01386197876945,0.477592447891178,0.5224075521088221,0.10058680128601392
1636.0,6.361253342657663,20.013861923396853,0.47759244789117816,0.5224075521088221,0.10058680128601392
1638.0,6.381267204554103,20.013861869769322,0.4775924478911783,0.522407552108822,0.100586801286014
1640.0,6.401281066397765,20.013861817831852,0.4775924478911783,0.5224075521088221,0.10058680128601401
1642.0,6.421294928190312,20.013861767531182,0.477592447891178,0.5224075521088221,0.10058680128601398
1644.0,6.441308789933355,20.013861718815736,0.477592447891178,0.5224075521088221,0.10058680128601401
1646.0,6.461322651628456,20.013861671635553,0.477592447891178,0.5224075521088221,0.10058680128601402
1648.0,6.481336513277122,20.013861625942248,0.47759244789117783,0.5224075521088221,0.10058680128601402
1650.0,6.501350374880818,20.01386158168896,0.47759244789117783,0.5224075521088223,0.100586801286014
1652.0,6.521364236440964,20.013861538830312,0.47759244789117783,0.5224075521088223,0.100586801286014
1654.0,6.54137809795893,20.013861497322353,0.47759244789117783,0.5224075521088223,0.10058680128601402
1656.0,6.561391959436045,20.01386145712251,0.477592447891178,0.5224075521088223,0.10058680128601402
1658.0,6.581405820873597,20.013861418189553,0.477592447891178,0.5224075521088221,0.10058680128601394
1660.0,6.601419682272833,20.01386138048357,0.477592447891178,0.5224075521088223,0.10058680128601391
1662.0,6.621433543634961,20.01386134396589,0.47759244789117783,0.5224075521088223,0.10058680128601395
1664.0,6.641447404961149,20.013861308599058,0.47759244789117783,0.5224075521088223,0.10058680128601392
1666.0,6.661461266252533,20.01386127434681,0.477592447891178,0.5224075521088223,0.10058680128601391
1668.0,6.681475127510206,20.013861241174016,0.47759244789117783,0.5224075521088223,0.10058680128601391
1670.0,6.701488988735231,20.013861209046667,0.47759244789117766,0.5224075521088226,0.10058680128601398
1672.0,6.721502849928637,20.0138611779318,0.47759244789117766,0.5224075521088226,0.10058680128601395
1674.0,6.741516711091422,20.013861147797517,0.47759244789117783,0.5224075521088224,0.10058680128601397
1676.0,6.761530572224549,20.013861118612912,0.47759244789117783,0.5224075521088224,0.10058680128601392
1678.0,6.781544433328954,20.01386109034805,0.47759244789117783,0.5224075521088224,0.10058680128601387
1680.0,6.801558294405542,20.013861062973962,0.47759244789117766,0.5224075521088223,0.1005868012860139
1682.0,6.821572155455189,20.013861036462565,0.47759244789117783,0.5224075521088223,0.10058680128601388
1684.0,6.841586016478745,20.013861010786673,0.477592447891178,0.5224075521088223,0.10058680128601394
1686.0,6.861599877477033,20.013860985919948,0.477592447891178,0.5224075521088221,0.10058680128601388
1688.0,6.881613738450849,20.0138609618369,0.47759244789117816,0.5224075521088223,0.1005868012860139
1690.0,6.901627599400962,20.013860938512828,0.477592447891178,0.522407552108822,0.10058680128601392
1692.0,6.92164146032812,20.01386091592381,0.477592447891178,0.5224075521088223,0.10058680128601394
1694.0,6.941655321233046,20.01386089404668,0.477592447891178,0.5224075521088223,0.10058680128601391
1696.0,6.9616691821164425,20.01386087285901,0.477592447891178,0.5224075521088221,0.10058680128601394
1698.0,6.981683042978988,20.01386085233906,0.47759244789117816,0.5224075521088217,0.1005868012860139
1700.0,7.001696903821338,20.0138608324658,0.4775924478911783,0.522407552108822,0.1005868012860139
1702.0,7.021710764644128,20.01386081321884,0.47759244789117844,0.5224075521088217,0.10058680128601387
1704.0,7.041724625447976,20.01386079457845,0.47759244789117844,0.522407552108822,0.1005868012860139
1706.0,7.06173848623348,20.0138607765255,0.47759244789117816,0.5224075521088221,0.10058680128601381
1708.0,7.081752347001218,20.01386075904149,0.477592447891178,0.522407552108822,0.10058680128601377
1710.0,7.101766207751747,20.013860742108488,0.477592447891178,0.5224075521088221,0.10058680128601374
1712.0,7.121780068485611,20.013860725709126,0.477592447891178,0.522407552108822,0.10058680128601367
1714.0,7.141793929203336,20.013860709826595,0.477592447891178,0.5224075521088223,0.1005868012860137
1716.0,7.16180778990543,20.013860694444602,0.477592447891178,0.5224075521088223,0.10058680128601373
1718.0,7.181821650592387,20.01386067954737,0.477592447891178,0.5224075521088223,0.10058680128601377
1720.0,7.201835511264682,20.01386066511962,0.477592447891178,0.5224075521088223,0.10058680128601374
1722.0,7.2218493719227785,20.01386065114656,0.477592447891178,0.5224075521088221,0.10058680128601377
1724.0,7.241863232567122,20.013860637613863,0.477592447891178,0.522407552108822,0.1005868012860138
1726.0,7.261877093198149,20.013860624507643,0.477592447891178,0.5224075521088221,0.1005868012860138
1728.0,7.281890953816276,20.01386061181446,0.47759244789117816,0.5224075521088221,0.10058680128601377
1730.0,7.301904814421912,20.013860599521305,0.47759244789117816,0.5224075521088217,0.10058680128601373
1732.0,7.321918675015448,20.01386058761557,0.477592447891178,0.5224075521088221,0.10058680128601377
1734.0,7.341932535597267,20.01386057608504,0.477592447891178,0.5224075521088223,0.10058680128601376
1736.0,7.361946396167738,20.013860564917895,0.47759244789117783,0.5224075521088224,0.10058680128601374
1738.0,7.381960256727219,20.01386055410268,0.47759244789117783,0.5224075521088226,0.10058680128601373
1740.0,7.401974117276057,20.01386054362831,0.47759244789117766,0.5224075521088223,0.10058680128601377
1742.0,7.421987977814586,20.013860533484035,0.4775924478911775,0.5224075521088226,0.10058680128601377
1744.0,7.442001838343131,20.013860523659456,0.4775924478911775,0.5224075521088226,0.10058680128601377
1746.0,7.462015698862008,20.0138605141445,0.47759244789117766,0.5224075521088226,0.10058680128601379
1748.0,7.482029559371521,20.013860504929404,0.4775924478911775,0.5224075521088226,0.10058680128601377
1750.0,7.502043419871965,20.013860496004725,0.4775924478911775,0.5224075521088226,0.1005868012860138
1752.0,7.522057280363625,20.013860487361303,0.4775924478911775,0.5224075521088226,0.10058680128601381
1754.0,7.542071140846778,20.013860478990278,0.4775924478911774,0.5224075521088227,0.10058680128601383
1756.0,7.562085001321693,20.01386047088306,0.47759244789117766,0.5224075521088226,0.10058680128601377
1758.0,7.582098861788628,20.013860463031342,0.47759244789117783,0.5224075521088223,0.10058680128601374
1760.0,7.602112722247837,20.013860455427068,0.47759244789117766,0.5224075521088223,0.1005868012860137
1762.0,7.622126582699561,20.013860448062445,0.47759244789117766,0.5224075521088226,0.10058680128601369
1764.0,7.642140443144038,20.013860440929918,0.47759244789117783,0.5224075521088223,0.10058680128601369
1766.0,7.662154303581496,20.01386043402217,0.47759244789117766,0.5224075521088226,0.10058680128601366
1768.0,7.682168164012155,20.01386042733212,0.47759244789117783,0.5224075521088223,0.10058680128601362
1770.0,7.70218202443623,20.013860420852907,0.47759244789117783,0.5224075521088223,0.10058680128601365
1772.0,7.722195884853928,20.01386041457789,0.47759244789117816,0.5224075521088221,0.10058680128601367
1774.0,7.742209745265449,20.01386040850063,0.47759244789117816,0.522407552108822,0.10058680128601372
1776.0,7.762223605670991,20.013860402614892,0.47759244789117816,0.5224075521088221,0.10058680128601373
1778.0,7.7822374660707405,20.013860396914637,0.4775924478911783,0.5224075521088221,0.10058680128601372
1780.0,7.802251326464879,20.013860391394026,0.47759244789117816,0.522407552108822,0.10058680128601366
1782.0,7.822265186853587,20.013860386047398,0.47759244789117816,0.5224075521088223,0.10058680128601366
1784.0,7.842279047237032,20.013860380869264,0.4775924478911783,0.5224075521088223,0.10058680128601362
1786.0,7.862292907615379,20.013860375854318,0.477592447891178,0.5224075521088223,0.10058680128601356
1788.0,7.882306767988792,20.01386037099742,0.477592447891178,0.5224075521088223,0.10058680128601354
1790.0,7.902320628357424,20.013860366293585,0.47759244789117783,0.5224075521088221,0.1005868012860135
1792.0,7.922334488721427,20.013860361737994,0.47759244789117783,0.5224075521088223,0.10058680128601348
1794.0,7.942348349080949,20.013860357325974,0.477592447891178,0.5224075521088223,0.10058680128601348
1796.0,7.962362209436127,20.013860353052998,0.47759244789117783,0.5224075521088223,0.1005868012860135
1798.0,7.9823760697871,20.013860348914683,0.477592447891178,0.5224075521088223,0.10058680128601351
1800.0,8.002389930134001,20.013860344906785,0.477592447891178,0.5224075521088224,0.10058680128601347
1802.0,8.022403790476956,20.0138603410252,0.47759244789117783,0.5224075521088223,0.1005868012860135
1804.0,8.042417650816093,20.01386033726594,0.477592447891178,0.5224075521088221,0.10058680128601347
1806.0,8.062431511151528,20.013860333625146,0.477592447891178,0.5224075521088223,0.10058680128601341
1808.0,8.082445371483379,20.0138603300991,0.477592447891178,0.5224075521088223,0.10058680128601341
1810.0,8.10245923181176,20.013860326684174,0.47759244789117783,0.5224075521088224,0.10058680128601342
1812.0,8.122473092136783,20.013860323376868,0.47759244789117766,0.5224075521088224,0.1005868012860134
