time,pmatrix_pop0,pmatrix_pop1,fssh_pop0,fssh_pop1,ehrenfest_pop0,ehrenfest_pop1,dvr_pop0,dvr_pop1
3075.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843992,0.7735776996156001,0.2691351093063418,0.7308648906936503
3080.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439895,0.7735776996156004,0.2691348416506804,0.7308651583493115
3085.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439845,0.7735776996156003,0.2691345938149601,0.7308654061850317
3090.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439795,0.7735776996156005,0.26913436442922617,0.7308656355707659
3095.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439753,0.7735776996156017,0.2691341522106531,0.7308658477893389
3100.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439715,0.7735776996156023,0.2691339559585761,0.730866044041416
3105.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439676,0.7735776996156027,0.2691337745497638,0.7308662254502284
3110.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439637,0.773577699615603,0.2691336069339203,0.7308663930660713
3115.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843961,0.7735776996156033,0.2691334521294173,0.7308665478705744
3120.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439598,0.773577699615604,0.2691333092192328,0.7308666907807595
3125.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843958,0.773577699615604,0.26913317734710585,0.7308668226528866
3130.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843957,0.7735776996156043,0.2691330557138859,0.7308669442861065
3135.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843956,0.7735776996156042,0.26913294357407164,0.7308670564259211
3140.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843956,0.7735776996156046,0.269132840232542,0.7308671597674501
3145.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843956,0.7735776996156046,0.269132745041449,0.7308672549585431
3150.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439554,0.7735776996156049,0.26913265739728925,0.7308673426027035
