"time_au","qm_adiabatic","qm_nonadiabatic","cmd","cmd_se","fssh","fssh_se"
"7100","0.00326848767906347","0.00183562332164576","0.011719478289253","0.00290633610227632","0.00347140247762377","0.000419810122840275"
"7200","0.00574037162938093","0.00339871756763054","0.0175792174338795","0.00354502111144107","0.00471893774301981","0.000483414875421327"
"7300","0.00930786597142531","0.00530349884918458","0.0241714239715843","0.00413769527232769","0.00612919499955446","0.000543032755419858"
"7400","0.0142645905281191","0.00744481132227713","0.0314960979023674","0.00469870839056978","0.00770217424722773","0.000598704898148628"
"7500","0.0209309136776766","0.00992602595510199","0.0439480435846987","0.00550082524540216","0.00943787548603962","0.000650263897746322"
"7600","0.0296422208326805","0.0132060769623929","0.0571324566601083","0.00621156534103683","0.0115532613708416","0.000702266841378507"
"7700","0.0407335642067043","0.0179496224295338","0.0710493371285962","0.00685516698849212","0.012638074645099","0.000725104562161822"
"7800","0.0545231613838861","0.0245208455202396","0.0878960871693974","0.00752697121630356","0.0137771285830693","0.000746640024649647"
"7900","0.0712948041898075","0.0324818482200558","0.113532445927138","0.00838267251059331","0.0148077011936139","0.000764141038136377"
"8000","0.0912810351615199","0.040716076029608","0.134041532933331","0.00895622239790752","0.0156755518130198","0.000777514893594348"
"8100","0.114644958360616","0.0483788807433849","0.16480516344262","0.00967231443529998","0.0159467551315842","0.00078144966771831"
"8200","0.14146126653268","0.0558930776013322","0.200696065703457","0.0103307508564498","0.0160552364590099","0.000782991739323645"
"8300","0.171698439425216","0.0647333792363273","0.23438956578506","0.0108048251104047","0.0162721991138614","0.000786021892826585"
"8400","0.205207040940711","0.075807737033724","0.27321033761821","0.0112015077188653","0.0163806804412872","0.000787510182463883"
"8500","0.241716569988462","0.0881063751588669","0.311298642058283","0.0114502952044879","0.0165434024324258","0.000789709417420556"
"8600","0.280841278178168","0.0995169987142816","0.35158434867759","0.0115720575995786","0.0167603650872773","0.000792580272619205"
"8700","0.322095442534326","0.109203265584216","0.399927196620758","0.0115322100454763","0.0167603650872773","0.000792580272619205"
"8800","0.364919129164156","0.11850323798093","0.43801550106083","0.0113566937539209","0.0171400497332674","0.000797437376064833"
"8900","0.408705975890289","0.128819031929416","0.486358349003999","0.0109406210221785","0.0172485310606931","0.000798786547866435"
"9000","0.452830939688416","0.139315257666182","0.529573925195619","0.0103656688246919","0.0173570123881188","0.000800118736790225"
"9100","0.496674414169679","0.148104485194537","0.556675218739517","0.0098923782328995","0.0174654937155446","0.000801434027525906"
"9200","0.539642814007018","0.155469459844971","0.582311577497258","0.00935080049201088","0.0174654937155446","0.000801434027525906"
"9300","0.581186185140295","0.163756755585781","0.603553131896529","0.00882080529670575","0.0175197343792575","0.000802085362093337"
"9400","0.620819166619967","0.173254047136281","0.637246631978131","0.00778967966642302","0.0175739750429703","0.00080273250313738"
"9500","0.658143591847792","0.180677905849855","0.658488186377402","0.00697957259795475","0.0176824563703961","0.000804014245093464"
"9600","0.692866790038706","0.184052547441306","0.678264805990517","0.00606330827315315","0.0176824563703961","0.000804014245093464"
"9700","0.724807560248165","0.186893115984371","0.694379088638239","0.00514273488767146","0.0176824563703961","0.000804014245093464"
"9800","0.753889127057661","0.193694480931235","0.702436229962101","0.00459292684469588","0.0176824563703961","0.000804014245093464"
"9900","0.780130102499281","0.202470206366236","0.709760903892884","0.00401449601923867","0.0176824563703961","0.000804014245093464"
"10000","0.803636502254537","0.206930572886103","0.718550512609824","0.00316227475001171","0.0176824563703961","0.000804014245093464"
"10100","0.82458119040567","0.206389940303842","0.721480382182137","0.00281547736989865","0.0177366970341089","0.000804648865980943"
"10200","0.843172964382711","0.207459400696407","0.72441025175445","0.00241592130973665","0.0177366970341089","0.000804648865980943"
"10300","0.859643372042256","0.213678883401162","0.725875186540607","0.00218749152004544","0.0177366970341089","0.000804648865980943"
"10400","0.874237437913668","0.219823319304139","0.726607653933685","0.00206342707953066","0.0177366970341089","0.000804648865980943"
"10500","0.88718961033629","0.220719808370142","0.728072588719842","0.00178878075408598","0.0177366970341089","0.000804648865980943"
"10600","0.898713455159266","0.219684642198417","0.72880505611292","0.00163374713391229","0.0177366970341089","0.000804648865980943"
"10700","0.909003322255365","0.222245944524317","0.72880505611292","0.00163374713391229","0.0177366970341089","0.000804648865980943"
"10800","0.918218817024543","0.226734235538238","0.729537523505999","0.00146200198084031","0.0177366970341089","0.000804648865980943"
"10900","0.92649214199902","0.228271923081751","0.730269990899077","0.00126676630419013","0.0177366970341089","0.000804648865980943"
"11000","0.933938777046658","0.227796043545732","0.731734925685233","0.000732101067777541","0.0177366970341089","0.000804648865980943"
"11100","0.940650392971504","0.229379669732519","0.731734925685233","0.000732101067777541","0.0177366970341089","0.000804648865980943"
"11200","0.946708361298569","0.232151763647313","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"11300","0.952177049126627","0.232678407301766","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"11400","0.95711135402977","0.232167817798193","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"11500","0.961562816718064","0.233766094377366","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"11600","0.965573292187801","0.235985215672303","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"11700","0.969182923576395","0.235898413684778","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"11800","0.972423112609994","0.235167385447798","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"11900","0.975327679538717","0.236425592465606","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12000","0.977922241038572","0.237982411147412","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12100","0.980234307184943","0.237774114561917","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12200","0.982287185867378","0.237546322374618","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12300","0.984106778243424","0.238578197913723","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12400","0.985714711337685","0.239013021996182","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12500","0.987137028827388","0.238524742898771","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12600","0.988395821694759","0.239172202199472","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12700","0.989516118546522","0.240314820740724","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12800","0.99052000410448","0.239699965277969","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"12900","0.991429076921769","0.238876075834521","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13000","0.992262825700549","0.240201598049809","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13100","0.993036786068616","0.241362233945552","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13200","0.993764712045853","0.240090631378087","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13300","0.994453744863656","0.239306348583299","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13400","0.995108574869007","0.240956283716647","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13500","0.995727519705875","0.241708322020817","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13600","0.996305018650234","0.240176991387889","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13700","0.996832395155374","0.239910148631688","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"13800","0.997296614687431","0.241555554167091","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
