time,pop1,pop2,pop3,pop1_stderr,pop2_stderr,pop3_stderr
570.0,1.0000060214216815,-6.021421682170051e-06,-3.2751579226442116e-17,6.094114820865491e-06,6.094114330943643e-06,5.249533232736358e-17
580.0,1.0000053761433803,-5.376143380455186e-06,-3.164135620181696e-17,5.528287759413669e-06,5.52828787501507e-06,5.2688998904680833e-17
590.0,1.0000018200637573,-1.8200637574093218e-06,-2.6090241078691177e-17,2.0834667308312424e-06,2.0834670643870856e-06,5.277639319152895e-17
600.0,0.9999933618423277,6.63815767240857e-06,-2.4239869370982583e-17,6.2875679645909884e-06,6.2875681800478835e-06,5.368559322621929e-17
610.0,0.9999774705482205,2.252945178018643e-05,-2.794061278639977e-17,2.214023203620883e-05,2.2140232157896082e-05,5.391444548852919e-17
620.0,0.9999511523236129,4.8847676387857583e-05,-3.349172790952556e-17,4.8608025490192964e-05,4.860802554626499e-05,5.4511522355100766e-17
630.0,0.99991109092777,8.890907222930862e-05,-3.9968028886505634e-17,8.91959506299988e-05,8.919595060492909e-05,5.5104578957840554e-17
640.0,0.9998538373186167,0.00014616268138299026,-3.534209961723415e-17,0.00014762278715345231,0.00014762278715243083,5.56747902651392e-17
650.0,0.999776031394749,0.00022396860525101278,-3.0716170347962665e-17,0.00022759260068318978,0.00022759260068608815,5.571928149923322e-17
660.0,0.9996746470188009,0.0003253529811995552,-3.959795454496392e-17,0.0003325227325145757,0.0003325227325185985,5.554239727150557e-17
670.0,0.9995472642879719,0.0004527357120284514,-3.0161058835650086e-17,0.00046521678222711523,0.00046521678223110716,5.612224568778087e-17
680.0,0.9993923787676439,0.0006076212323558431,-3.608224830031759e-17,0.0006274689465277897,0.0006274689465274409,5.552417940321161e-17
690.0,0.9992097421775187,0.000790257822480443,-4.3853809472693685e-17,0.000819605393151225,0.0008196053931472503,5.578733223328652e-17
700.0,0.9990006861545986,0.0009993138454010833,-4.070817756958907e-17,0.001040016009240068,0.001040016009238369,5.565857401639863e-17
710.0,0.9987683209932394,0.0012316790067600939,-3.0161058835650086e-17,0.0012847941567523337,0.0012847941567503073,5.531541820819039e-17
720.0,0.9985174571261665,0.0014825428738336156,-3.293661639721298e-17,0.001547649523163125,0.0015476495231631642,5.553223735196722e-17
730.0,0.9982541119151355,0.0017458880848643414,-3.1271281860275244e-17,0.0018202457286117038,0.0018202457286112562,5.593566758295566e-17
740.0,0.9979845638929049,0.002015436107095267,-3.14563190310461e-17,0.00209301422550082,0.0020930142255009094,5.644988462894963e-17
750.0,0.9977140779482606,0.002285922051739113,-3.090120751873352e-17,0.002356333123809707,0.0023563331238092224,5.685010337728039e-17
760.0,0.9974455724824564,0.0025544275175434774,-2.9235872981795786e-17,0.0026018112064973855,0.002601811206496772,5.733847421677944e-17
770.0,0.9971785472834176,0.0028214527165817973,-2.6090241078691177e-17,0.0028233714232213042,0.0028233714232201853,5.727990825251974e-17
780.0,0.9969085059606074,0.0030914940393927154,-2.257453483404485e-17,0.003017918018909405,0.0030179180189097684,5.79152707960115e-17
790.0,0.9966269385907746,0.003373061409226302,-2.2944609175586568e-17,0.003185545409176331,0.003185545409177448,5.824491260988176e-17
800.0,0.9963217738691005,0.0036782261308998163,-3.7747582837255325e-17,0.0033294026727262436,0.003329402672726774,5.827680405697527e-17
810.0,0.9959781365947699,0.0040218634052298415,-3.5897211129546725e-17,0.0034553823401615733,0.00345538234016127,5.85029324153987e-17
820.0,0.9955792601162464,0.004420739883753591,-3.534209961723415e-17,0.003571740027699426,0.0035717400276996294,5.87298176200641e-17
830.0,0.9951074549112942,0.004892545088706085,-3.6267285471088446e-17,0.0036886219347053877,0.0036886219347056705,5.89075203118142e-17
