time,pmatrix_tau_abs_rho01,pmatrix_inf_abs_rho01,ehrenfest_abs_rho01
300.0,0.024893534245179667,0.49999999999999806,0.5000000000000228
302.0,0.02440060924144162,0.499999999999998,0.5000000000000229
304.0,0.023917444806729936,0.499999999999998,0.5000000000000231
306.0,0.02344384766882877,0.499999999999998,0.5000000000000233
308.0,0.02297962838256855,0.49999999999999795,0.5000000000000234
310.0,0.022524601254045415,0.49999999999999795,0.5000000000000236
312.0,0.02207858426634114,0.49999999999999795,0.5000000000000239
314.0,0.02164139900671396,0.49999999999999795,0.5000000000000241
316.0,0.0212128705952311,0.4999999999999979,0.5000000000000243
318.0,0.02079282761481446,0.49999999999999784,0.5000000000000245
320.0,0.020381102042671503,0.4999999999999979,0.5000000000000245
322.0,0.019977529183083893,0.49999999999999784,0.5000000000000248
324.0,0.01958194760152701,0.49999999999999784,0.5000000000000249
326.0,0.019194199060094008,0.49999999999999784,0.500000000000025
328.0,0.018814128454198515,0.4999999999999978,0.5000000000000251
330.0,0.01844158375053075,0.4999999999999978,0.5000000000000252
332.0,0.018076415926242158,0.4999999999999978,0.5000000000000253
334.0,0.017718478909334295,0.4999999999999978,0.5000000000000255
336.0,0.01736762952022807,0.4999999999999978,0.5000000000000256
338.0,0.01702372741449003,0.4999999999999978,0.5000000000000258
340.0,0.01668663502669267,0.4999999999999978,0.5000000000000259
342.0,0.01635621751538647,0.4999999999999977,0.500000000000026
344.0,0.016032342709161505,0.49999999999999767,0.5000000000000263
346.0,0.0157148810537771,0.49999999999999767,0.5000000000000265
348.0,0.01540370556033844,0.49999999999999767,0.5000000000000266
350.0,0.015098691754499285,0.49999999999999767,0.5000000000000268
352.0,0.0147997176266706,0.4999999999999976,0.500000000000027
354.0,0.01450666358321507,0.49999999999999756,0.5000000000000271
356.0,0.014219412398608067,0.49999999999999756,0.5000000000000273
358.0,0.01393784916854587,0.49999999999999756,0.5000000000000273
360.0,0.013661861263982413,0.4999999999999975,0.5000000000000276
362.0,0.013391338286076165,0.49999999999999756,0.5000000000000278
364.0,0.013126172022029118,0.49999999999999756,0.5000000000000279
366.0,0.01286625640180023,0.4999999999999975,0.5000000000000281
368.0,0.012611487455675995,0.4999999999999975,0.5000000000000283
370.0,0.012361763272681162,0.4999999999999975,0.5000000000000285
372.0,0.012116983959812996,0.4999999999999975,0.5000000000000285
374.0,0.011877051602082746,0.4999999999999975,0.5000000000000288
376.0,0.011641870223348337,0.4999999999999975,0.5000000000000289
378.0,0.011411345747922633,0.4999999999999975,0.5000000000000291
