time,pmatrix_db_low,pmatrix_db_high,pmatrix_no_db_low,pmatrix_no_db_high,fssh_low,fssh_high,ehrenfest_low,ehrenfest_high,boltzmann_high
1830.0,0.7167428346988827,0.2832571653011173,0.4788794540350534,0.5211205459649466,0.5,0.5,0.5295369303402064,0.4704630696598109,0.10859564580706031
1832.0,0.7170726405033002,0.2829273594966997,0.47895754435789417,0.5210424556421058,0.5,0.5,0.5329163899240789,0.4670836100759387,0.10859564580706031
1834.0,0.7174018235489303,0.2825981764510696,0.4790353459507688,0.5209646540492312,0.5,0.5,0.5362852156374912,0.4637147843625262,0.10859564580706031
1836.0,0.7177303850117178,0.2822696149882821,0.47911285988125407,0.5208871401187459,0.5,0.5,0.5396431380123012,0.4603568619877162,0.10859564580706031
1838.0,0.7180583260653867,0.2819416739346133,0.47919008721297895,0.520809912787021,0.5,0.5,0.5429898884529993,0.45701011154701815,0.10859564580706031
1840.0,0.7183856478814443,0.28161435211855573,0.4792670290056391,0.5207329709943609,0.5,0.5,0.5463251992581877,0.4536748007418301,0.10859564580706031
1842.0,0.7187123516291856,0.28128764837081444,0.47934368631501145,0.5206563136849885,0.5,0.5,0.5496488036419883,0.4503511963580298,0.10859564580706031
1844.0,0.7190384384756973,0.28096156152430274,0.4794200601929687,0.5205799398070313,0.5,0.5,0.5529604357553783,0.4470395642446397,0.10859564580706031
1846.0,0.719363909585862,0.28063609041413795,0.4794961516874937,0.5205038483125063,0.5,0.5,0.5562598307074498,0.4437401692925681,0.10859564580706031
1848.0,0.7196887661223627,0.2803112338776373,0.479571961842694,0.520428038157306,0.5,0.5,0.5595467245865919,0.44045327541342594,0.10859564580706031
1850.0,0.7200130092456862,0.2799869907543137,0.4796474916988161,0.520352508301184,0.5,0.5,0.5628208544815962,0.4371791455184216,0.10859564580706031
1852.0,0.7203366401141282,0.27966335988587177,0.4797227422922596,0.5202772577077405,0.5,0.5,0.5660819585026803,0.4339180414973379,0.10859564580706031
1854.0,0.7206596598837967,0.2793403401162034,0.4797977146555916,0.5202022853444084,0.5,0.5,0.5693297758024299,0.43067022419758794,0.10859564580706031
1856.0,0.7209820697086162,0.2790179302913839,0.479872409817561,0.520127590182439,0.53125,0.46875,0.5725640465966587,0.427435953403359,0.10859564580706031
1858.0,0.7213038707403324,0.2786961292596676,0.4799468288031123,0.5200531711968878,0.53125,0.46875,0.5757845121851822,0.42421548781483553,0.10859564580706031
1860.0,0.7216250641285159,0.27837493587148404,0.4800209726333998,0.5199790273666002,0.5625,0.4375,0.5789909149725043,0.421009085027513,0.10859564580706031
1862.0,0.7219456510205663,0.27805434897943376,0.4800948423258019,0.5199051576741981,0.5625,0.4375,0.5821829984884153,0.41781700151160156,0.10859564580706031
1864.0,0.7222656325617162,0.2777343674382839,0.4801684388939347,0.5198315611060653,0.5625,0.4375,0.585360507408501,0.41463949259151583,0.10859564580706031
1866.0,0.7225850098950356,0.27741499010496445,0.480241763347666,0.519758236652334,0.5625,0.4375,0.5885231875745592,0.41147681242545736,0.10859564580706031
1868.0,0.722903784161436,0.2770962158385641,0.4803148166931293,0.5196851833068706,0.5625,0.4375,0.5916707860149224,0.40832921398509403,0.10859564580706031
