time,ehrenfest_pop1,ehrenfest_pop2,ehrenfest_pop3,fssh_pop1,fssh_pop2,fssh_pop3,spinmint_pop1,spinmint_pop2,spinmint_pop3,dvr_pop1,dvr_pop2,dvr_pop3
1580.0,0.5444304809607444,0.4524993836780629,0.003070135361192768,0.59,0.4066666666666667,0.0033333333333333335,0.649526440242905,0.3499207515898463,0.0005528081672490798,0.6226831354589192,0.3767838629707621,0.000533001570297004
1590.0,0.5420365717398984,0.45442506449813164,0.0035383637619698,0.6,0.39666666666666667,0.0033333333333333335,0.6486988436025117,0.35060207193909093,0.0006990844583976589,0.6226756033117414,0.3767096364174887,0.0006147602707486233
1600.0,0.5399619390848355,0.4559597842793167,0.004078276635847662,0.5966666666666667,0.4,0.0033333333333333335,0.6478494228998991,0.3512355633002107,0.0009150137998893095,0.6228658788243866,0.37642704343364447,0.0007070777419478496
1610.0,0.538208411178837,0.4571347292316556,0.004656859589507287,0.5966666666666667,0.4,0.0033333333333333335,0.6471183083629483,0.3516779458312538,0.0012037458057975528,0.6232326249745629,0.3759563522084491,0.000811022816966596
1620.0,0.5367767696887444,0.4579850972299634,0.005238133081292287,0.5966666666666667,0.4,0.0033333333333333335,0.6466034274570037,0.3518572482930743,0.0015393242499216772,0.6237539567946148,0.3753183097004825,0.0009277335048818214
1630.0,0.5356624884207951,0.4585347879473456,0.005802723631859206,0.5966666666666667,0.4,0.0033333333333333335,0.6463376018619195,0.3517864994164899,0.0018758987215905091,0.6244076977598487,0.3745338838052667,0.0010584184348633422
1640.0,0.5348440496649645,0.45880317586242086,0.0063527744726152805,0.5966666666666667,0.4,0.0033333333333333335,0.6462990993725747,0.3515289860113646,0.002171914616060691,0.6251716642371425,0.3736239769318784,0.0012043588309577874
1650.0,0.5342949196475083,0.45881096705636215,0.006894113296129737,0.6033333333333334,0.3933333333333333,0.0033333333333333335,0.6464348304767107,0.35118374332452373,0.0023814261987650837,0.6260239688997186,0.37260912001004326,0.00136691109021711
1660.0,0.5339821627848202,0.45857818339085554,0.00743965382432518,0.6033333333333334,0.3933333333333333,0.0033333333333333335,0.6466764039976566,0.3508899269121727,0.002433669090170758,0.6269433320444969,0.3715091580505151,0.001547509904966208
1670.0,0.5338708175172997,0.4581062075147275,0.008022974967973391,0.6033333333333334,0.3933333333333333,0.0033333333333333335,0.6469513074791454,0.35077930034555316,0.0022693921753015552,0.6279093885956615,0.37034293969256726,0.0017476717117497636
1680.0,0.53392759679752,0.45737876938902855,0.008693633813451538,0.6066666666666667,0.39,0.0033333333333333335,0.6471951521003825,0.35090454571567203,0.0019003021839455207,0.6289029783122582,0.3691280236029443,0.001968998084776772
1690.0,0.5341206411399928,0.4563763659769765,0.009502992883030527,0.6066666666666667,0.39,0.0033333333333333335,0.6473606821533954,0.3512351201268334,0.001404197719771408,0.6299064073258607,0.36788041412888006,0.002213178545238428
1700.0,0.5344211696231874,0.45508602172839424,0.010492808648418738,0.6066666666666667,0.39,0.0033333333333333335,0.6474204590488999,0.35170692687651917,0.0008726140745807835,0.6309036705326624,0.3666143373111213,0.0024819921561944226
1710.0,0.5348056439280184,0.45350947001831116,0.011684886053670088,0.61,0.38666666666666666,0.0033333333333333335,0.6473661138739283,0.35225067161329815,0.00038321451277284897,0.631880626412354,0.3653420663472666,0.0027773072403580335
1720.0,0.5352520569692748,0.45166954316769636,0.01307839986302954,0.6066666666666667,0.38666666666666666,0.006666666666666667,0.6472061227411248,0.35278623357668487,7.643682189452205e-06,0.6328251183624863,0.36407380302383624,0.0031010786136564748
1730.0,0.5357360405980335,0.44960921754769306,0.014654741854274232,0.6066666666666667,0.38666666666666666,0.006666666666666667,0.6469636137943521,0.35320170264621115,-0.00016531644056366908,0.633727039417542,0.3628176187028388,0.0034553418795983237
1740.0,0.5362318739487406,0.4473944743345543,0.016373651716705396,0.61,0.38333333333333336,0.006666666666666667,0.6466747186995754,0.3533504829134914,-2.520161306708065e-05,0.6345783400597975,0.3615794553665014,0.003842204573680513
1750.0,0.5367176686751833,0.44510319371894147,0.018179137605875185,0.61,0.38333333333333336,0.006666666666666667,0.646384250554488,0.3531096757487366,0.0005060736967755609,0.6353729815344641,0.36036318420178765,0.004263834263726905
1760.0,0.5371771081602763,0.4427957102141597,0.020027181625564272,0.61,0.38333333333333336,0.006666666666666667,0.6461370974965409,0.3524562218866738,0.0014066806167849506,0.6361068394940794,0.35917071643866677,0.004722444067232374
1770.0,0.537596872904002,0.44048505499226126,0.021918072103737203,0.61,0.38333333333333336,0.006666666666666667,0.6459681618232554,0.35146870176368056,0.0025631364130637526,0.6367775647902295,0.35800215881396263,0.005220276395786237
1780.0,0.5379656807115674,0.4381435552557417,0.02389076403269117,0.61,0.38333333333333336,0.006666666666666667,0.6458945177850659,0.3502789223234028,0.0038265598915307305,0.6373844097122461,0.35685600425774944,0.005759586029983096
1790.0,0.5382763161163548,0.4357431551246527,0.025980528758992677,0.61,0.38,0.01,0.6459127356610261,0.3490253965531262,0.005061867785847937,0.6379280288853868,0.35572934729592237,0.006342623818669627
1800.0,0.5385272786914276,0.433267545587776,0.02820517572079688,0.61,0.38,0.01,0.6460030287270274,0.34782351710584025,0.006173454167132156,0.6384102643681552,0.354618113286115,0.0069716223457080275
1810.0,0.5387222867418285,0.4306895556766133,0.030588157581558414,0.61,0.38,0.01,0.6461381610397522,0.3467548731178542,0.007106965842394032,0.638833924257457,0.35351729095066253,0.007648784791859407
1820.0,0.5388684507882906,0.42796838159160205,0.03316316762010773,0.61,0.38,0.01,0.6462921081219184,0.3458350111214528,0.007872880756629003,0.6392025633926133,0.3524211586740601,0.008376277933304664
1830.0,0.5389743486632526,0.42506926328340644,0.035956388053341275,0.61,0.38,0.01,0.6464449938731319,0.3449967639492268,0.008558242177641106,0.6395202736507982,0.3513234965726762,0.009156229776504083
1840.0,0.5390485956501204,0.421982096461832,0.038969307888048095,0.61,0.38,0.01,0.6465842269570016,0.3441703362333624,0.009245436809635755,0.639791489970554,0.35021777826241557,0.00999073176700968
1850.0,0.5390989848861533,0.41870848316527365,0.04219253194857348,0.61,0.38,0.01,0.6467034527636415,0.3433462571569451,0.009950290079413272,0.6400208167505445,0.3490973383676395,0.010881844881794743
1860.0,0.5391320763647256,0.41524626695886113,0.04562165667641343,0.61,0.38,0.01,0.6468007990950576,0.3425069753519898,0.010692225552951972,0.6402128777574053,0.3479555139532542,0.011831608289318927
