R,E1,E2,E3,V11,V22,V33,V12,V13,V23,nac12,nac13,nac23,abs_nac12,abs_nac13,abs_nac23
1.9664832416208105,0.05152957257341262,0.3511674048288993,0.5084739334253596,0.05152957257341262,0.3511674048288993,0.5084739334253596,1.380949114005412e-31,2.1317882149063757e-128,0.0,-4.2282803770017526e-29,4.6877059481470546e-126,1.170901097328034e-97,4.2282803770017526e-29,4.6877059481470546e-126,1.170901097328034e-97
1.9696848424212106,0.05138475820486625,0.34936122358635485,0.5062862719656367,0.05138475820486625,0.34936122358635485,0.5062862719656367,1.8518295869026914e-31,3.9434702240405723e-128,0.0,-5.688932350296864e-29,8.71045437584489e-126,1.6147086632299106e-97,5.688932350296864e-29,8.71045437584489e-126,1.6147086632299106e-97
1.9728864432216109,0.05124046186303269,0.34756343956638136,0.5041080528753912,0.05124046186303269,0.34756343956638136,0.5041080528753912,2.481643866950911e-31,7.290010785384395e-128,0.0,-7.649140424968815e-29,1.6174711952294118e-125,2.226733345888863e-97,7.649140424968815e-29,1.6174711952294118e-125,2.226733345888863e-97
1.976088044022011,0.05109668203390776,0.34577401603032043,0.5019392361961673,0.05109668203390776,0.34577401603032043,0.5019392361961673,3.32347940666703e-31,1.3467682571824935e-127,0.0,-1.027801792214108e-28,3.0015639214259644e-125,3.0707349035341124e-97,1.027801792214108e-28,3.0015639214259644e-125,3.0707349035341124e-97
1.9792896448224113,0.05095341720760187,0.34399291639597485,0.4997797821370122,0.05095341720760187,0.34399291639597485,0.4997797821370122,4.447967678443184e-31,2.4864095686252264e-127,0.0,-1.380133123680453e-28,5.566393888085334e-125,4.2346401716620513e-97,1.380133123680453e-28,5.566393888085334e-125,4.2346401716620513e-97
1.9824912456228114,0.050810665878329164,0.34222010423695104,0.49762965107377843,0.050810665878329164,0.34222010423695104,0.49762965107377843,5.949018908989732e-31,4.587410044338652e-127,0.0,-1.8520276199033693e-28,1.031610062525701e-124,5.839703213145749e-97,1.8520276199033693e-28,1.031610062525701e-124,5.839703213145749e-97
1.9856928464232118,0.05066842654439671,0.3404555432820031,0.49548880354842845,0.05066842654439671,0.3404555432820031,0.49548880354842845,7.951410443414147e-31,8.458192203286397e-127,0.0,-2.483640939790375e-28,1.9106120054803922e-124,8.053137486920607e-97,2.483640939790375e-28,1.9106120054803922e-124,8.053137486920607e-97
1.9888944472236119,0.050526697708193714,0.3386991974143805,0.49335720026833746,0.050526697708193714,0.3386991974143805,0.49335720026833746,1.0620821021562951e-30,1.558485027658586e-126,0.0,-3.328472946469689e-28,3.53626443241376e-124,1.1105536055213333e-96,3.328472946469689e-28,3.53626443241376e-124,1.1105536055213333e-96
1.992096048024012,0.05038547787618087,0.3369510306711793,0.4912348021056094,0.05038547787618087,0.3369510306711793,0.4912348021056094,1.4177090271831992e-30,2.869741742374063e-126,0.0,-4.457754250290971e-28,6.540820965933492e-124,1.5314894669323354e-96,4.457754250290971e-28,6.540820965933492e-124,1.5314894669323354e-96
1.9952976488244123,0.0502447655588794,0.335211007242694,0.4891215700963826,0.0502447655588794,0.335211007242694,0.4891215700963826,1.8911728090902328e-30,5.2807801993771605e-126,0.0,-5.966258741580394e-28,1.2090244664276277e-123,2.1119740465636886e-96,5.966258741580394e-28,1.2090244664276277e-123,2.1119740465636886e-96
1.9984992496248124,0.05010455927086067,0.33347909147177374,0.4870174654401505,0.05010455927086067,0.33347909147177374,0.4870174654401505,2.5211020254135647e-30,9.711100836826552e-126,0.0,-7.9800004110673e-28,2.2333316281260218e-123,2.9124817632201843e-96,7.9800004110673e-28,2.2333316281260218e-123,2.9124817632201843e-96
2.0017008504252125,0.049964857530735256,0.33175524785318083,0.48492244949907937,0.049964857530735256,0.33175524785318083,0.48492244949907937,3.358649802846099e-30,1.7846535985868157e-125,0.0,-1.0666418329261569e-27,4.1227466055829696e-123,4.016408960143819e-96,1.0666418329261569e-27,4.1227466055829696e-123,4.016408960143819e-96
2.004902451225613,0.049825658861142444,0.33003944103295213,0.48283648379732697,0.049825658861142444,0.33003944103295213,0.48283648379732697,4.471509128073662e-30,3.2775890217792935e-125,0.0,-1.4247844914518568e-27,7.605633068340012e-123,5.538762137582312e-96,1.4247844914518568e-27,7.605633068340012e-123,5.538762137582312e-96
2.008104052026013,0.049686961788739645,0.32833163580776276,0.480759530020368,0.049686961788739645,0.32833163580776276,0.480759530020368,5.949200636398595e-30,6.015478189190894e-125,0.0,-1.901930372338706e-27,1.4021658834136704e-122,7.638139345009712e-96,1.901930372338706e-27,1.4021658834136704e-122,7.638139345009712e-96
2.011305652826413,0.04954876484419171,0.3266317971242914,0.4786915500143228,0.04954876484419171,0.3266317971242914,0.4786915500143228,7.91003136790905e-30,1.1033185312128403e-124,0.0,-2.5372012439596744e-27,2.5833230767777176e-122,1.0533252964434512e-95,2.5372012439596744e-27,2.5833230767777176e-122,1.0533252964434512e-95
2.0145072536268134,0.04941106656216036,0.32493989007859064,0.47663250578528366,0.04941106656216036,0.32493989007859064,0.47663250578528366,1.0510246255312598e-29,2.022305507748864e-124,0.0,-3.382439865503381e-27,4.75634504176839e-122,1.452571524399755e-95,3.382439865503381e-27,4.75634504176839e-122,1.452571524399755e-95
2.0177088544272137,0.04927386548129385,0.3232558799154591,0.474582359498649,0.04927386548129385,0.3232558799154591,0.474582359498649,1.3956055040104947e-29,3.7043133147962167e-124,0.0,-4.506300190287624e-27,8.75151583160094e-122,2.0031460402865126e-95,4.506300190287624e-27,8.75151583160094e-122,2.0031460402865126e-95
2.020910455227614,0.04913716014421616,0.3215797320278139,0.47254107347845875,0.04913716014421616,0.3215797320278139,0.47254107347845875,1.8519427260060334e-29,6.78084405416163e-124,0.0,-5.999637623843068e-27,1.609194410124167e-121,2.7624076899055807e-95,5.999637623843068e-27,1.609194410124167e-121,2.7624076899055807e-95
2.024112056028014,0.049000949097516885,0.3199114119560697,0.4705086102067324,0.049000949097516885,0.3199114119560697,0.4705086102067324,2.4558821645257836e-29,1.2404375268994162e-123,0.0,-7.982607688359021e-27,2.9569845154145008e-121,3.8094564271402975e-95,7.982607688359021e-27,2.9569845154145008e-121,3.8094564271402975e-95
