time,rpmd_correlation,exact_kubo,error
5.0812500000,0.0028239936,0.0029752445,-0.0001512509
5.1000000000,0.0004995948,0.0006359639,-0.0001363691
5.1187500000,-0.0018276130,-0.0017068924,-0.0001207206
5.1375000000,-0.0041445452,-0.0040401518,-0.0001043934
5.1562500000,-0.0064381753,-0.0063506961,-0.0000874792
5.1750000000,-0.0086956076,-0.0086255344,-0.0000700732
5.1937500000,-0.0109041500,-0.0108518769,-0.0000522732
5.2125000000,-0.0130513854,-0.0130172061,-0.0000341793
5.2312500000,-0.0151252411,-0.0151093479,-0.0000158933
5.2500000000,-0.0171140572,-0.0171165394,0.0000024822
5.2687500000,-0.0190066519,-0.0190274955,0.0000208436
5.2875000000,-0.0207923842,-0.0208314721,0.0000390879
5.3062500000,-0.0224612142,-0.0225183266,0.0000571124
5.3250000000,-0.0240037591,-0.0240785749,0.0000748158
5.3437500000,-0.0254113461,-0.0255034446,0.0000920985
5.3625000000,-0.0266760613,-0.0267849247,0.0001088635
5.3812500000,-0.0277907939,-0.0279158103,0.0001250164
5.4000000000,-0.0287492766,-0.0288897430,0.0001404663
5.4187500000,-0.0295461204,-0.0297012470,0.0001551266
5.4375000000,-0.0301768452,-0.0303457598,0.0001689146
5.4562500000,-0.0306379048,-0.0308196578,0.0001817530
5.4750000000,-0.0309267069,-0.0311202764,0.0001935695
5.4937500000,-0.0310416279,-0.0312459255,0.0002042976
5.5125000000,-0.0309820215,-0.0311958986,0.0002138771
5.5312500000,-0.0307482229,-0.0309704770,0.0002222541
5.5500000000,-0.0303415466,-0.0305709282,0.0002293816
5.5687500000,-0.0297642791,-0.0299994984,0.0002352193
5.5875000000,-0.0290196660,-0.0292594006,0.0002397346
5.6062500000,-0.0281118938,-0.0283547958,0.0002429020
5.6250000000,-0.0270460663,-0.0272907700,0.0002447037
5.6437500000,-0.0258281759,-0.0260733056,0.0002451296
5.6625000000,-0.0244650702,-0.0247092475,0.0002441773
5.6812500000,-0.0229644129,-0.0232062651,0.0002418522
5.7000000000,-0.0213346414,-0.0215728086,0.0002381672
5.7187500000,-0.0195849187,-0.0198180620,0.0002331432
5.7375000000,-0.0177250825,-0.0179518910,0.0002268084
5.7562500000,-0.0157655895,-0.0159847879,0.0002191984
5.7750000000,-0.0137174565,-0.0139278125,0.0002103560
5.7937500000,-0.0115921991,-0.0117925299,0.0002003308
5.8125000000,-0.0094017661,-0.0095909454,0.0001891794
5.8312500000,-0.0071584729,-0.0073354372,0.0001769643
5.8500000000,-0.0048749322,-0.0050386864,0.0001637542
5.8687500000,-0.0025639828,-0.0027136063,0.0001496235
5.8875000000,-0.0002386178,-0.0003732693,0.0001346515
5.9062500000,0.0020880888,0.0019691663,0.0001189225
5.9250000000,0.0044030554,0.0043005306,0.0001025248
5.9437500000,0.0066932664,0.0066077157,0.0000855507
5.9625000000,0.0089458455,0.0088777498,0.0000680956
5.9812500000,0.0111481277,0.0110978700,0.0000502577
6.0000000000,0.0132877311,0.0132555940,0.0000321372
