T_K,beads,dt_au,seed,time_fs,kappa
200.0,64,4.0,0,85.338238104,0.9912109375
200.0,64,4.0,0,87.37010091600001,0.9912109375
200.0,64,4.0,0,89.40196372800001,0.9912109375
200.0,64,4.0,0,91.43382654000001,0.9912109375
200.0,64,4.0,0,93.46568935200001,0.9912109375
200.0,64,4.0,0,95.49755216400001,0.9912109375
200.0,64,4.0,0,97.52941497600001,0.9912109375
200.0,64,4.0,0,99.56127778800001,0.9912109375
200.0,64,4.0,0,101.59314060000001,0.9912109375
200.0,64,4.0,0,103.62500341200001,0.9912109375
200.0,64,4.0,0,105.65686622400001,0.9912109375
200.0,64,4.0,0,107.68872903600001,0.9912109375
200.0,64,4.0,0,109.72059184800001,0.9912109375
200.0,64,4.0,0,111.75245466000001,0.9912109375
200.0,64,4.0,0,113.78431747200001,0.9912109375
200.0,64,4.0,0,115.81618028400001,0.9912109375
200.0,64,4.0,0,117.84804309600001,0.9912109375
200.0,64,4.0,0,119.87990590800001,0.9912109375
200.0,64,4.0,1,0.0,1.0
200.0,64,4.0,1,2.031862812,0.9990234375
200.0,64,4.0,1,4.063725624,0.9970703125
200.0,64,4.0,1,6.095588436000001,0.9951171875
200.0,64,4.0,1,8.127451248,0.994140625
200.0,64,4.0,1,10.15931406,0.9912109375
200.0,64,4.0,1,12.191176872000002,0.9912109375
200.0,64,4.0,1,14.223039684000002,0.990234375
200.0,64,4.0,1,16.254902496,0.9892578125
200.0,64,4.0,1,18.286765308,0.9892578125
200.0,64,4.0,1,20.31862812,0.990234375
200.0,64,4.0,1,22.350490932000003,0.9912109375
200.0,64,4.0,1,24.382353744000003,0.9912109375
200.0,64,4.0,1,26.414216556000003,0.9912109375
200.0,64,4.0,1,28.446079368000003,0.9931640625
200.0,64,4.0,1,30.477942180000003,0.9931640625
200.0,64,4.0,1,32.509804992,0.9921875
200.0,64,4.0,1,34.541667804,0.9921875
200.0,64,4.0,1,36.573530616,0.9921875
200.0,64,4.0,1,38.605393428,0.9921875
200.0,64,4.0,1,40.63725624,0.9921875
200.0,64,4.0,1,42.669119052,0.9921875
200.0,64,4.0,1,44.700981864000006,0.9921875
200.0,64,4.0,1,46.732844676000006,0.9921875
200.0,64,4.0,1,48.764707488000006,0.9921875
200.0,64,4.0,1,50.796570300000006,0.9921875
200.0,64,4.0,1,52.828433112000006,0.9921875
200.0,64,4.0,1,54.860295924000006,0.9921875
200.0,64,4.0,1,56.892158736000006,0.9921875
200.0,64,4.0,1,58.924021548000006,0.9921875
200.0,64,4.0,1,60.955884360000006,0.9921875
200.0,64,4.0,1,62.987747172000006,0.9921875
200.0,64,4.0,1,65.019609984,0.9921875
200.0,64,4.0,1,67.051472796,0.9921875
200.0,64,4.0,1,69.083335608,0.9921875
200.0,64,4.0,1,71.11519842,0.9921875
200.0,64,4.0,1,73.147061232,0.9921875
200.0,64,4.0,1,75.178924044,0.9921875
200.0,64,4.0,1,77.210786856,0.9921875
200.0,64,4.0,1,79.242649668,0.9921875
200.0,64,4.0,1,81.27451248,0.9921875
200.0,64,4.0,1,83.306375292,0.9921875
200.0,64,4.0,1,85.338238104,0.9921875
200.0,64,4.0,1,87.37010091600001,0.9921875
200.0,64,4.0,1,89.40196372800001,0.9921875
200.0,64,4.0,1,91.43382654000001,0.9921875
200.0,64,4.0,1,93.46568935200001,0.9921875
200.0,64,4.0,1,95.49755216400001,0.9921875
200.0,64,4.0,1,97.52941497600001,0.9921875
200.0,64,4.0,1,99.56127778800001,0.9921875
200.0,64,4.0,1,101.59314060000001,0.9921875
200.0,64,4.0,1,103.62500341200001,0.9921875
200.0,64,4.0,1,105.65686622400001,0.9921875
200.0,64,4.0,1,107.68872903600001,0.9921875
200.0,64,4.0,1,109.72059184800001,0.9921875
200.0,64,4.0,1,111.75245466000001,0.9921875
200.0,64,4.0,1,113.78431747200001,0.9921875
200.0,64,4.0,1,115.81618028400001,0.9921875
200.0,64,4.0,1,117.84804309600001,0.9921875
200.0,64,4.0,1,119.87990590800001,0.9921875
200.0,64,4.0,2,0.0,1.0
200.0,64,4.0,2,2.031862812,1.0
200.0,64,4.0,2,4.063725624,0.9990234375
200.0,64,4.0,2,6.095588436000001,0.9931640625
200.0,64,4.0,2,8.127451248,0.9921875
200.0,64,4.0,2,10.15931406,0.990234375
200.0,64,4.0,2,12.191176872000002,0.9892578125
200.0,64,4.0,2,14.223039684000002,0.9892578125
200.0,64,4.0,2,16.254902496,0.98828125
200.0,64,4.0,2,18.286765308,0.98828125
200.0,64,4.0,2,20.31862812,0.9892578125
200.0,64,4.0,2,22.350490932000003,0.9892578125
200.0,64,4.0,2,24.382353744000003,0.9892578125
200.0,64,4.0,2,26.414216556000003,0.9892578125
200.0,64,4.0,2,28.446079368000003,0.9892578125
200.0,64,4.0,2,30.477942180000003,0.9892578125
200.0,64,4.0,2,32.509804992,0.9892578125
200.0,64,4.0,2,34.541667804,0.9892578125
200.0,64,4.0,2,36.573530616,0.9892578125
200.0,64,4.0,2,38.605393428,0.9892578125
200.0,64,4.0,2,40.63725624,0.9892578125
200.0,64,4.0,2,42.669119052,0.9892578125
200.0,64,4.0,2,44.700981864000006,0.9892578125
200.0,64,4.0,2,46.732844676000006,0.9892578125
200.0,64,4.0,2,48.764707488000006,0.9892578125
200.0,64,4.0,2,50.796570300000006,0.9892578125
200.0,64,4.0,2,52.828433112000006,0.9892578125
200.0,64,4.0,2,54.860295924000006,0.9892578125
200.0,64,4.0,2,56.892158736000006,0.9892578125
200.0,64,4.0,2,58.924021548000006,0.9892578125
200.0,64,4.0,2,60.955884360000006,0.9892578125
200.0,64,4.0,2,62.987747172000006,0.9892578125
200.0,64,4.0,2,65.019609984,0.9892578125
200.0,64,4.0,2,67.051472796,0.9892578125
200.0,64,4.0,2,69.083335608,0.9892578125
200.0,64,4.0,2,71.11519842,0.9892578125
200.0,64,4.0,2,73.147061232,0.9892578125
200.0,64,4.0,2,75.178924044,0.9892578125
200.0,64,4.0,2,77.210786856,0.9892578125
200.0,64,4.0,2,79.242649668,0.9892578125
200.0,64,4.0,2,81.27451248,0.9892578125
200.0,64,4.0,2,83.306375292,0.9892578125
200.0,64,4.0,2,85.338238104,0.9892578125
200.0,64,4.0,2,87.37010091600001,0.9892578125
200.0,64,4.0,2,89.40196372800001,0.9892578125
200.0,64,4.0,2,91.43382654000001,0.9892578125
200.0,64,4.0,2,93.46568935200001,0.9892578125
200.0,64,4.0,2,95.49755216400001,0.9892578125
200.0,64,4.0,2,97.52941497600001,0.9892578125
200.0,64,4.0,2,99.56127778800001,0.9892578125
200.0,64,4.0,2,101.59314060000001,0.9892578125
200.0,64,4.0,2,103.62500341200001,0.9892578125
200.0,64,4.0,2,105.65686622400001,0.9892578125
200.0,64,4.0,2,107.68872903600001,0.9892578125
200.0,64,4.0,2,109.72059184800001,0.9892578125
200.0,64,4.0,2,111.75245466000001,0.9892578125
200.0,64,4.0,2,113.78431747200001,0.9892578125
200.0,64,4.0,2,115.81618028400001,0.9892578125
200.0,64,4.0,2,117.84804309600001,0.9892578125
200.0,64,4.0,2,119.87990590800001,0.9892578125
200.0,64,4.0,3,0.0,1.0
200.0,64,4.0,3,2.031862812,0.9990234375
200.0,64,4.0,3,4.063725624,0.9951171875
200.0,64,4.0,3,6.095588436000001,0.9951171875
200.0,64,4.0,3,8.127451248,0.9921875
200.0,64,4.0,3,10.15931406,0.990234375
200.0,64,4.0,3,12.191176872000002,0.9892578125
200.0,64,4.0,3,14.223039684000002,0.9892578125
200.0,64,4.0,3,16.254902496,0.9892578125
200.0,64,4.0,3,18.286765308,0.9892578125
200.0,64,4.0,3,20.31862812,0.990234375
200.0,64,4.0,3,22.350490932000003,0.990234375
200.0,64,4.0,3,24.382353744000003,0.990234375
200.0,64,4.0,3,26.414216556000003,0.990234375
200.0,64,4.0,3,28.446079368000003,0.990234375
200.0,64,4.0,3,30.477942180000003,0.990234375
200.0,64,4.0,3,32.509804992,0.990234375
200.0,64,4.0,3,34.541667804,0.990234375
200.0,64,4.0,3,36.573530616,0.990234375
200.0,64,4.0,3,38.605393428,0.990234375
200.0,64,4.0,3,40.63725624,0.990234375
200.0,64,4.0,3,42.669119052,0.990234375
200.0,64,4.0,3,44.700981864000006,0.990234375
200.0,64,4.0,3,46.732844676000006,0.990234375
200.0,64,4.0,3,48.764707488000006,0.990234375
