time,scaled_ground_population
4.648526077097505913e+04,7.124923076923077581e-01
4.671201814058957098e+04,7.127076923076923753e-01
4.693877551020408282e+04,7.131384615384616099e-01
4.716553287981859467e+04,7.133538461538462272e-01
4.739229024943310651e+04,7.135692307692308445e-01
4.761904761904761835e+04,7.137846153846154618e-01
4.784580498866213020e+04,7.140000000000000790e-01
4.807256235827664204e+04,7.140000000000000790e-01
4.829931972789115389e+04,7.142153846153846963e-01
4.852607709750567301e+04,7.144307692307693136e-01
4.875283446712018485e+04,7.146461538461539309e-01
4.897959183673468942e+04,7.148615384615385482e-01
4.920634920634920127e+04,7.150769230769231655e-01
4.943310657596372039e+04,7.152923076923076717e-01
4.965986394557823223e+04,7.155076923076924000e-01
4.988662131519274408e+04,7.157230769230769063e-01
5.011337868480725592e+04,7.159384615384614126e-01
5.034013605442176777e+04,7.161538461538461409e-01
5.056689342403628689e+04,7.161538461538461409e-01
5.079365079365079146e+04,7.163692307692307581e-01
5.102040816326531058e+04,7.165846153846153754e-01
5.124716553287982242e+04,7.168000000000001037e-01
5.147392290249432699e+04,7.170153846153847210e-01
5.170068027210884611e+04,7.172307692307693383e-01
5.192743764172335068e+04,7.172307692307693383e-01
5.215419501133786980e+04,7.174461538461539556e-01
5.238095238095238165e+04,7.176615384615385729e-01
5.260770975056688621e+04,7.178769230769231902e-01
5.283446712018140533e+04,7.180923076923078074e-01
5.306122448979592446e+04,7.183076923076924247e-01
5.328798185941042902e+04,7.183076923076924247e-01
5.351473922902494087e+04,7.183076923076924247e-01
5.374149659863945999e+04,7.183076923076924247e-01
5.396825396825396456e+04,7.185230769230770420e-01
5.419501133786848368e+04,7.187384615384615483e-01
5.442176870748299552e+04,7.189538461538460545e-01
5.464852607709750009e+04,7.191692307692307828e-01
5.487528344671201921e+04,7.193846153846152891e-01
5.510204081632652378e+04,7.193846153846152891e-01
5.532879818594104290e+04,7.193846153846152891e-01
5.555555555555555475e+04,7.193846153846152891e-01
5.578231292517006659e+04,7.196000000000000174e-01
5.600907029478457844e+04,7.198153846153845237e-01
5.623582766439909756e+04,7.200307692307692520e-01
5.646258503401360213e+04,7.202461538461537582e-01
5.668934240362812125e+04,7.204615384615384865e-01
5.691609977324263309e+04,7.204615384615384865e-01
5.714285714285713766e+04,7.204615384615384865e-01
5.736961451247165678e+04,7.204615384615384865e-01
5.759637188208617590e+04,7.204615384615384865e-01
5.782312925170068047e+04,7.204615384615384865e-01
5.804988662131519231e+04,7.206769230769229928e-01
5.827664399092971144e+04,7.208923076923077211e-01
5.850340136054421600e+04,7.211076923076922274e-01
5.873015873015873512e+04,7.213230769230769557e-01
5.895691609977323969e+04,7.215384615384614619e-01
5.918367346938775154e+04,7.215384615384614619e-01
5.941043083900227066e+04,7.215384615384614619e-01
5.963718820861677523e+04,7.215384615384614619e-01
5.986394557823129435e+04,7.215384615384614619e-01
6.009070294784580619e+04,7.215384615384614619e-01
6.031746031746031076e+04,7.215384615384614619e-01
6.054421768707482988e+04,7.215384615384614619e-01
6.077097505668934900e+04,7.217538461538461902e-01
6.099773242630385357e+04,7.219692307692308075e-01
6.122448979591836542e+04,7.221846153846155358e-01
6.145124716553288454e+04,7.224000000000001531e-01
6.167800453514738911e+04,7.226153846153847704e-01
6.190476190476190823e+04,7.226153846153847704e-01
6.213151927437641280e+04,7.226153846153847704e-01
6.235827664399093192e+04,7.226153846153847704e-01
6.258503401360544376e+04,7.226153846153847704e-01
6.281179138321994833e+04,7.226153846153847704e-01
6.303854875283446745e+04,7.226153846153847704e-01
6.326530612244898657e+04,7.226153846153847704e-01
6.349206349206349114e+04,7.226153846153847704e-01
6.371882086167800298e+04,7.226153846153847704e-01
6.394557823129252210e+04,7.226153846153847704e-01
6.417233560090702667e+04,7.226153846153847704e-01
6.439909297052154579e+04,7.226153846153847704e-01
6.462585034013605764e+04,7.226153846153847704e-01
6.485260770975056221e+04,7.226153846153847704e-01
6.507936507936508133e+04,7.226153846153847704e-01
6.530612244897958590e+04,7.226153846153847704e-01
6.553287981859410502e+04,7.228307692307693877e-01
6.575963718820862414e+04,7.230461538461538940e-01
6.598639455782312143e+04,7.232615384615384002e-01
6.621315192743764783e+04,7.234769230769231285e-01
6.643990929705215967e+04,7.236923076923076348e-01
6.666666666666665697e+04,7.236923076923076348e-01
6.689342403628118336e+04,7.236923076923076348e-01
6.712018140589569521e+04,7.236923076923076348e-01
6.734693877551020705e+04,7.236923076923076348e-01
6.757369614512471890e+04,7.236923076923076348e-01
6.780045351473923074e+04,7.236923076923076348e-01
6.802721088435374259e+04,7.236923076923076348e-01
6.825396825396825443e+04,7.236923076923076348e-01
6.848072562358276627e+04,7.236923076923076348e-01
6.870748299319727812e+04,7.236923076923076348e-01
6.893424036281178996e+04,7.236923076923076348e-01
6.916099773242630181e+04,7.236923076923076348e-01
6.938775510204081365e+04,7.236923076923076348e-01
6.961451247165532550e+04,7.236923076923076348e-01
6.984126984126983734e+04,7.236923076923076348e-01
7.006802721088434919e+04,7.236923076923076348e-01
7.029478458049887558e+04,7.236923076923076348e-01
7.052154195011337288e+04,7.236923076923076348e-01
7.074829931972788472e+04,7.236923076923076348e-01
7.097505668934241112e+04,7.236923076923076348e-01
7.120181405895690841e+04,7.236923076923076348e-01
7.142857142857143481e+04,7.236923076923076348e-01
7.165532879818594665e+04,7.236923076923076348e-01
7.188208616780045850e+04,7.236923076923076348e-01
7.210884353741497034e+04,7.236923076923076348e-01
7.233560090702946763e+04,7.236923076923076348e-01
7.256235827664399403e+04,7.236923076923076348e-01
7.278911564625850588e+04,7.236923076923076348e-01
7.301587301587301772e+04,7.236923076923076348e-01
7.324263038548752957e+04,7.236923076923076348e-01
