wavenumber_cm-1,n,k,alpha_cm-1,nalpha_cm-1
281.5539,1.5677351,0.31741962,1123.0657,1760.6695
282.51813,1.5683382,0.31696531,1125.299,1764.8493
283.48236,1.5689068,0.31654212,1127.6321,1769.1496
284.4466,1.5694932,0.31614384,1130.0439,1773.5963
285.41083,1.5700579,0.31577563,1132.554,1778.1754
286.37507,1.5706278,0.31543824,1135.1661,1782.9234
287.3393,1.5711703,0.31512764,1137.8667,1787.7824
288.30353,1.5717205,0.31483904,1140.6395,1792.7664
289.26777,1.5722404,0.31457558,1143.4967,1797.8517
290.232,1.5727744,0.31433842,1146.4434,1803.0968
291.19623,1.5732807,0.31412527,1149.4722,1808.4425
292.16047,1.5737908,0.31393313,1152.5731,1813.9089
293.1247,1.5742797,0.31376359,1155.7525,1819.4776
294.08893,1.5747725,0.31361663,1159.0112,1825.179
295.05317,1.5752436,0.31349313,1162.3534,1830.9897
296.0174,1.5757167,0.31339127,1165.773,1836.928
296.98163,1.5761729,0.31331435,1169.2833,1842.9927
297.94587,1.576622,0.31327242,1172.9227,1849.2557
298.9101,1.5770315,0.31324279,1176.6073,1855.5468
299.87434,1.5774416,0.31322527,1180.3368,1861.9124
300.83857,1.5778217,0.31321913,1184.1089,1868.3128
301.8028,1.5782084,0.31321621,1187.8931,1874.7429
302.76704,1.5785844,0.31323203,1191.7485,1881.2757
303.73127,1.5789601,0.3132669,1195.677,1887.9263
304.6955,1.5793285,0.31332079,1199.6792,1894.6875
305.65974,1.5796859,0.31339809,1203.7726,1901.5826
306.62397,1.5800214,0.31349066,1207.9267,1908.55
307.5882,1.580355,0.31359971,1212.1467,1915.6222
308.55244,1.5806715,0.31372467,1216.4311,1922.778
309.51667,1.5809784,0.3138791,1220.8331,1930.1108
310.48091,1.5812552,0.31403989,1225.2637,1937.4546
311.44514,1.5815225,0.31420842,1229.7285,1944.8432
312.40937,1.5817622,0.31438386,1234.2245,1952.2497
313.37361,1.5820022,0.31455803,1238.7197,1959.6573
314.33784,1.5822388,0.31474203,1243.258,1967.1311
315.30207,1.5824697,0.31493962,1247.8546,1974.6921
316.26631,1.5826819,0.3151494,1252.5044,1982.3161
317.23054,1.5829023,0.31537151,1257.2085,1990.0383
318.19477,1.5830963,0.315604,1261.9595,1997.8033
319.15901,1.5832903,0.31585044,1266.772,2005.6679
320.12324,1.5834758,0.316109,1271.6393,2013.6101
321.08748,1.5836477,0.31639019,1276.6041,2021.6912
