beta,Cv_no_GP_over_kB,Cv_GP_over_kB
1.029819639278557197e+01,3.007759950422036477e-01,3.573083879654633758e-03
1.033747494989979998e+01,2.973133016864638045e-01,3.461724314686053482e-03
1.037675350701402799e+01,2.938794669504081192e-01,3.353738233709378444e-03
1.041603206412825777e+01,2.904745238586664002e-01,3.249027284600403392e-03
1.045531062124248578e+01,2.870984964064855482e-01,3.147495828586658207e-03
1.049458917835671379e+01,2.837513998247291891e-01,3.049050871706422087e-03
1.053386773547094357e+01,2.804332408400330712e-01,2.953601997730044993e-03
1.057314629258517158e+01,2.771440179301356554e-01,2.861061302524634496e-03
1.061242484969939959e+01,2.738837215744109876e-01,2.771343329842820922e-03
1.065170340681362759e+01,2.706523344996302760e-01,2.684365008516006665e-03
1.069098196392785738e+01,2.674498319209857033e-01,2.600045591032085733e-03
1.073026052104208539e+01,2.642761817784081702e-01,2.518306593477412283e-03
1.076953907815631339e+01,2.611313449682143295e-01,2.439071736822479887e-03
1.080881763527054140e+01,2.580152755701259903e-01,2.362266889530697817e-03
1.084809619238477119e+01,2.549279210696968057e-01,2.287820011469360489e-03
1.088737474949899919e+01,2.518692225761935410e-01,2.215661099101865449e-03
1.092665330661322720e+01,2.488391150359727522e-01,2.145722131940068760e-03
1.096593186372745521e+01,2.458375274414024703e-01,2.077937020235694383e-03
1.100521042084168499e+01,2.428643830353732491e-01,2.012241553889573212e-03
1.104448897795591300e+01,2.399195995114508928e-01,1.948573352557565709e-03
1.108376753507014101e+01,2.370030892097176878e-01,1.886871816931942700e-03
1.112304609218436902e+01,2.341147593083570677e-01,1.827078081177157219e-03
1.116232464929859880e+01,2.312545120110312546e-01,1.769134966498876272e-03
1.120160320641282681e+01,2.284222447301085812e-01,1.712986935825313401e-03
1.124088176352705482e+01,2.256178502657907869e-01,1.658580049579924795e-03
1.128016032064128282e+01,2.228412169811987975e-01,1.605861922524730962e-03
1.131943887775551261e+01,2.200922289734709159e-01,1.554781681653578506e-03
1.135871743486974061e+01,2.173707662409299357e-01,1.505289925114862903e-03
1.139799599198396862e+01,2.146767048463754102e-01,1.457338682143335387e-03
1.143727454909819663e+01,2.120099170765591401e-01,1.410881373980862451e-03
1.147655310621242641e+01,2.093702715978995321e-01,1.365872775766131418e-03
1.151583166332665442e+01,2.067576336084948896e-01,1.322268979373517972e-03
1.155511022044088243e+01,2.041718649864896207e-01,1.280027357181522628e-03
1.159438877755511044e+01,2.016128244348559251e-01,1.239106526751430470e-03
1.163366733466934022e+01,1.990803676226432506e-01,1.199466316397030698e-03
1.167294589178356823e+01,1.965743473227593296e-01,1.161067731626490079e-03
1.171222444889779624e+01,1.940946135463351152e-01,1.123872922437692571e-03
1.175150300601202424e+01,1.916410136737349001e-01,1.087845151448626254e-03
1.179078156312625403e+01,1.892133925822676310e-01,1.052948762844621404e-03
1.183006012024048204e+01,1.868115927706568979e-01,1.019149152124512649e-03
1.186933867735471004e+01,1.844354544803261386e-01,9.864127366280297203e-04
1.190861723446893805e+01,1.820848158135570938e-01,9.547069268270350854e-04
1.194789579158316783e+01,1.797595128485760529e-01,9.240000983634249522e-04
1.198717434869739584e+01,1.774593797516265670e-01,8.942615648168289770e-04
1.202645290581162385e+01,1.751842488860800851e-01,8.654615511854676967e-04
1.206573146292585186e+01,1.729339509186447188e-01,8.375711680638431777e-04
1.210501002004008164e+01,1.707083149227232588e-01,8.105623865011667064e-04
1.214428857715430965e+01,1.685071684789763713e-01,7.844080135247303827e-04
1.218356713426853766e+01,1.663303377731440991e-01,7.590816683126659420e-04
1.222284569138276566e+01,1.641776476911791238e-01,7.345577590008534269e-04
1.226212424849699545e+01,1.620489219117453028e-01,7.108114601089717509e-04
1.230140280561122346e+01,1.599439829961330495e-01,6.878186905709775516e-04
1.234068136272545146e+01,1.578626524756419347e-01,6.655560923555518989e-04
1.237995991983967947e+01,1.558047509364844929e-01,6.440010096623504038e-04
1.241923847695390926e+01,1.537700981022593893e-01,6.231314686801287450e-04
1.245851703406813726e+01,1.517585129140441302e-01,6.029261578931080327e-04
1.249779559118236527e+01,1.497698136081571652e-01,5.833644089221856708e-04
1.253707414829659328e+01,1.478038177916379814e-01,5.644261778878849030e-04
1.257635270541082306e+01,1.458603425154924582e-01,5.460920272821770350e-04
1.261563126252505107e+01,1.439392043457515813e-01,5.283431083365798531e-04
1.265490981963927908e+01,1.420402194323892864e-01,5.111611438741790574e-04
1.269418837675350709e+01,1.401632035761468109e-01,4.945284116334955652e-04
1.273346693386773687e+01,1.383079722933072686e-01,4.784277280523448303e-04
1.277274549098196488e+01,1.364743408784671042e-01,4.628424325001073811e-04
1.281202404809619289e+01,1.346621244653458949e-01,4.477563719470480856e-04
1.285130260521042089e+01,1.328711380856803514e-01,4.331538860595950851e-04
1.289058116232465068e+01,1.311011967262439848e-01,4.190197927107001626e-04
1.292985971943887868e+01,1.293521153840348492e-01,4.053393738946557451e-04
1.296913827655310669e+01,1.276237091196717188e-01,3.920983620359627447e-04
1.300841683366733648e+01,1.259157931090410243e-01,3.792829266820903753e-04
1.304769539078156448e+01,1.242281826932339905e-01,3.668796615701787616e-04
1.308697394789579249e+01,1.225606934268117648e-01,3.548755720579611613e-04
1.312625250501002050e+01,1.209131411244401683e-01,3.432580629094118233e-04
1.316553106212425028e+01,1.192853419059295289e-01,3.320149264258292219e-04
1.320480961923847829e+01,1.176771122397185509e-01,3.211343309132835291e-04
1.324408817635270630e+01,1.160882689848379556e-01,3.106048094775597668e-04
1.328336673346693431e+01,1.145186294313906838e-01,3.004152491379457365e-04
1.332264529058116409e+01,1.129680113395838820e-01,2.905548802513999249e-04
1.336192384769539210e+01,1.114362329773474908e-01,2.810132662388464407e-04
1.340120240480962011e+01,1.099231131565732572e-01,2.717802936055272638e-04
1.344048096192384811e+01,1.084284712680084750e-01,2.628461622475465717e-04
1.347975951903807790e+01,1.069521273148367063e-01,2.542013760369165720e-04
1.351903807615230590e+01,1.054939019449783050e-01,2.458367336776096958e-04
1.355831663326653391e+01,1.040536164821418003e-01,2.377433198252918507e-04
1.359759519038076192e+01,1.026310929556580737e-01,2.299124964636027895e-04
1.363687374749499170e+01,1.012261541291269579e-01,2.223358945300100606e-04
1.367615230460921971e+01,9.983862352790737194e-02,2.150054057844437178e-04
1.371543086172344772e+01,9.846832546547855392e-02,2.079131749140785280e-04
1.375470941883767573e+01,9.711508506870311641e-02,2.010515918678025136e-04
1.379398797595190551e+01,9.577872830201855647e-02,1.944132844140634509e-04
1.383326653306613352e+01,9.445908199058603016e-02,1.879911109159500726e-04
1.387254509018036153e+01,9.315597384242230161e-02,1.817781533175085709e-04
1.391182364729458953e+01,9.186923246954241395e-02,1.757677103354586253e-04
1.395110220440881932e+01,9.059868740813860344e-02,1.699532908506102289e-04
1.399038076152304733e+01,8.934416913782110281e-02,1.643286074934345879e-04
1.402965931863727533e+01,8.810550909994509239e-02,1.588875704183754286e-04
1.406893787575150334e+01,8.688253971504947271e-02,1.536242812616375069e-04
1.410821643286573313e+01,8.567509439943023219e-02,1.485330272773125251e-04
1.414749498997996113e+01,8.448300758087236295e-02,1.436082756468436865e-04
1.418677354709418914e+01,8.330611471356312581e-02,1.388446679569529062e-04
1.422605210420841715e+01,8.214425229220891078e-02,1.342370148412887296e-04
1.426533066132264693e+01,8.099725786537807781e-02,1.297802907811695635e-04
1.430460921843687494e+01,7.986497004809102462e-02,1.254696290609236189e-04
1.434388777555110295e+01,7.874722853367778497e-02,1.213003168734387913e-04
1.438316633266533096e+01,7.764387410492526453e-02,1.172677905716600712e-04
1.442244488977956074e+01,7.655474864453272466e-02,1.133676310618750657e-04
1.446172344689378875e+01,7.547969514489616394e-02,1.095955593347472168e-04
1.450100200400801675e+01,7.441855771724002755e-02,1.059474321301554102e-04
1.454028056112224476e+01,7.337118160011585344e-02,1.024192377320123221e-04
1.457955911823647455e+01,7.233741316728561910e-02,9.900709188933007093e-05
1.461883767535070255e+01,7.131709993500831568e-02,9.570723385990507082e-05
1.465811623246493056e+01,7.031009056874631957e-02,9.251602257308891254e-05
1.469739478957915857e+01,6.931623488931042132e-02,8.942993290821224300e-05
