beta,E_no_GP,Cv_no_GP_over_kB,E_GP,Cv_GP_over_kB
5.820440881763527585e+00,4.914483235767925368e-02,7.522441197664585522e-01,1.279576021669499020e-01,9.990521111710311264e-02
5.859719438877756481e+00,4.827958358885478529e-02,7.503503330832265172e-01,1.278440020556768641e-01,9.737958341437004395e-02
5.898997995991984489e+00,4.742806960663183830e-02,7.483505655650110056e-01,1.277347537160062052e-01,9.490848701927945275e-02
5.938276553106213385e+00,4.659012086634704841e-02,7.462469727877879544e-01,1.276296912971902897e-01,9.249115528681819964e-02
5.977555110220441392e+00,4.576556852625534438e-02,7.440417359077978743e-01,1.275286552063496781e-01,9.012681181171910971e-02
6.016833667334670288e+00,4.495424447194973361e-02,7.417370583950393392e-01,1.274314918769147154e-01,8.781467183454455538e-02
6.056112224448898296e+00,4.415598134205914876e-02,7.393351628861338787e-01,1.273380535453101370e-01,8.555394357486573176e-02
6.095390781563127192e+00,4.337061255496793555e-02,7.368382881554965680e-01,1.272481980356117426e-01,8.334382949402466267e-02
6.134669338677355199e+00,4.259797233632370977e-02,7.342486862035614292e-01,1.271617885519117919e-01,8.118352748994846213e-02
6.173947895791584095e+00,4.183789574711918591e-02,7.315686194606323411e-01,1.270786934781369393e-01,7.907223202645186078e-02
6.213226452905812103e+00,4.109021871215462474e-02,7.288003581047938217e-01,1.269987861850697675e-01,7.700913519943386465e-02
6.252505010020040999e+00,4.035477804870341023e-02,7.259461774921587285e-01,1.269219448443316967e-01,7.499342774233246078e-02
6.291783567134269006e+00,3.963141149522143164e-02,7.230083556976225623e-01,1.268480522490929574e-01,7.302429997316302324e-02
6.331062124248497902e+00,3.891995773995516467e-02,7.199891711641771552e-01,1.267769956412807264e-01,7.110094268541637674e-02
6.370340681362725910e+00,3.822025644931866667e-02,7.168909004587334932e-01,1.267086665450641858e-01,6.922254798504803852e-02
6.409619238476954806e+00,3.753214829592240592e-02,7.137158161323325922e-01,1.266429606064020663e-01,6.738831007573618803e-02
6.448897795591182813e+00,3.685547498614939049e-02,7.104661846825320870e-01,1.265797774384433139e-01,6.559742599453712020e-02
6.488176352705411709e+00,3.619007928718572659e-02,7.071442646157048983e-01,1.265190204725794854e-01,6.384909630000962233e-02
6.527454909819639717e+00,3.553580505342330415e-02,7.037523046069265042e-01,1.264605968149525306e-01,6.214252571482735410e-02
6.566733466933868613e+00,3.489249725216191089e-02,7.002925417550850407e-01,1.264044171082281676e-01,6.047692372484111262e-02
6.606012024048096620e+00,3.426000198854777662e-02,6.967671999308072683e-01,1.263503953984504991e-01,5.885150513649757553e-02
6.645290581162325516e+00,3.363816652969333493e-02,6.931784882147780102e-01,1.262984490068001231e-01,5.726549059446354312e-02
6.684569138276553524e+00,3.302683932793135102e-02,6.895285994239903626e-01,1.262484984060828208e-01,5.571810706124907808e-02
6.723847695390782420e+00,3.242587004316323934e-02,6.858197087234720879e-01,1.262004671017815660e-01,5.420858826056564744e-02
6.763126252505010427e+00,3.183510956426853500e-02,6.820539723210096161e-01,1.261542815175105137e-01,5.273617508610033144e-02
6.802404809619239323e+00,3.125441002954801317e-02,6.782335262423978550e-01,1.261098708847142036e-01,5.130011597732972439e-02
6.841683366733467331e+00,3.068362484617913680e-02,6.743604851847504467e-01,1.260671671364604896e-01,4.989966726394451380e-02
6.880961923847696227e+00,3.012260870866675586e-02,6.704369414454035558e-01,1.260261048051812272e-01,4.853409348039870036e-02
6.920240480961924234e+00,2.957121761627793180e-02,6.664649639239779155e-01,1.259866209242184176e-01,4.720266765204649689e-02
6.959519038076153130e+00,2.902930888945273735e-02,6.624465971951647436e-01,1.259486549330396665e-01,4.590467155427502277e-02
6.998797595190381138e+00,2.849674118518747551e-02,6.583838606498333412e-01,1.259121485859900358e-01,4.463939594599139471e-02
7.038076152304610034e+00,2.797337451139034897e-02,6.542787477020834963e-01,1.258770458644528911e-01,4.340614077877028021e-02
7.077354709418838041e+00,2.745907024021263312e-02,6.501332250598943485e-01,1.258432928922957605e-01,4.220421538292036534e-02
7.116633266533066937e+00,2.695369112036093140e-02,6.459492320570471291e-01,1.258108378544823824e-01,4.103293863167820077e-02
7.155911823647294945e+00,2.645710128839980427e-02,6.417286800440460404e-01,1.257796309187351469e-01,3.989163908469210706e-02
7.195190380761523841e+00,2.596916627905499625e-02,6.374734518357870749e-01,1.257496241601370746e-01,3.877965511191171916e-02
7.234468937875751848e+00,2.548975303453089244e-02,6.331854012137722032e-01,1.257207714885654748e-01,3.769633499895531925e-02
7.273747494989980744e+00,2.501872991285668951e-02,6.288663524806974436e-01,1.256930285788539214e-01,3.664103703498187287e-02
7.313026052104208752e+00,2.455596669527828832e-02,6.245181000653011738e-01,1.256663528035820709e-01,3.561312958405436074e-02
7.352304609218437648e+00,2.410133459271347409e-02,6.201424081753837969e-01,1.256407031683967890e-01,3.461199114093835988e-02
7.391583166332665655e+00,2.365470625129028823e-02,6.157410104969713860e-01,1.256160402497715212e-01,3.363701037224117729e-02
7.430861723446894551e+00,2.321595575698844061e-02,6.113156099376321206e-01,1.255923261351135634e-01,3.268758614375738558e-02
7.470140280561122559e+00,2.278495863940575156e-02,6.068678784120059566e-01,1.255695243651328563e-01,3.176312753485021484e-02
7.509418837675351455e+00,2.236159187467130077e-02,6.023994566676519336e-01,1.255475998783882052e-01,3.086305384066119137e-02
7.548697394789579462e+00,2.194573388752860815e-02,5.979119541493691514e-01,1.255265189579302942e-01,2.998679456290648596e-02
7.587975951903808358e+00,2.153726455261200518e-02,5.934069489001922992e-01,1.255062491799640301e-01,2.913378938998359077e-02
7.627254509018036366e+00,2.113606519494030250e-02,5.888859874973140229e-01,1.254867593644542478e-01,2.830348816708042059e-02
7.666533066132265262e+00,2.074201858965170342e-02,5.843505850212317165e-01,1.254680195276035026e-01,2.749535085694682079e-02
7.705811623246493269e+00,2.035500896100483556e-02,5.798022250564683899e-01,1.254500008361311425e-01,2.670884749195844010e-02
7.745090180360722165e+00,1.997492198067009686e-02,5.752423597222637852e-01,1.254326755632871049e-01,2.594345811807333146e-02
7.784368737474950173e+00,1.960164476533640676e-02,5.706724097316784317e-01,1.254160170465352941e-01,2.519867273125420484e-02
7.823647294589179069e+00,1.923506587365772513e-02,5.660937644776047328e-01,1.253999996468441736e-01,2.447399120690112867e-02
7.862925851703407076e+00,1.887507530256440219e-02,5.615077821442256978e-01,1.253845987095242032e-01,2.376892322281452807e-02
7.902204408817635972e+00,1.852156448296343738e-02,5.569157898425038944e-01,1.253697905265543089e-01,2.308298817618187337e-02
7.941482965931864868e+00,1.817442627485239132e-02,5.523190837683394916e-01,1.253555523003414829e-01,2.241571509505882465e-02
7.980761523046092876e+00,1.783355496187092812e-02,5.477189293820718952e-01,1.253418621088593643e-01,2.176664254479097546e-02
8.020040080160320883e+00,1.749884624531378510e-02,5.431165616080505520e-01,1.253286988721143136e-01,2.113531852980089776e-02
8.059318637274548891e+00,1.717019723762896327e-02,5.385131850530456843e-01,1.253160423198887985e-01,2.052130039114368615e-02
8.098597194388778675e+00,1.684750645542417574e-02,5.339099742423069062e-01,1.253038729607140189e-01,1.992415470021325144e-02
8.137875751503006683e+00,1.653067381200454267e-02,5.293080738721313017e-01,1.252921720520253634e-01,1.934345714896241325e-02
8.177154308617234690e+00,1.621960060946388282e-02,5.247085990778311837e-01,1.252809215714559832e-01,1.877879243698023920e-02
8.216432865731462698e+00,1.591418953035179940e-02,5.201126357160477109e-01,1.252701041892258782e-01,1.822975415575294605e-02
8.255711422845692482e+00,1.561434462893806531e-02,5.155212406603865150e-01,1.252597032415844469e-01,1.769594467041619296e-02
8.294989979959920490e+00,1.531997132209556196e-02,5.109354421093921239e-01,1.252497027052672796e-01,1.717697499929088378e-02
8.334268537074148497e+00,1.503097637982220985e-02,5.063562399059241548e-01,1.252400871729282827e-01,1.667246469147785903e-02
8.373547094188376505e+00,1.474726791542250136e-02,5.017846058670265563e-01,1.252308418295106918e-01,1.618204170277228252e-02
8.412825651302606289e+00,1.446875537536792058e-02,4.972214841234255389e-01,1.252219524295208608e-01,1.570534227014352621e-02
