Q,mo_1,mo_2,mo_3,Li3_like_total,Na3_like_total
0.45500000,-2.00960550,0.74975000,1.25985550,-0.05983250,-0.04333875
0.46000000,-2.00980888,0.74700000,1.26280888,-0.05888000,-0.04278000
0.46500000,-2.01001420,0.74425000,1.26576420,-0.05789250,-0.04219875
0.47000000,-2.01022147,0.74150000,1.26872147,-0.05687000,-0.04159500
0.47500000,-2.01043066,0.73875000,1.27168066,-0.05581250,-0.04096875
0.48000000,-2.01064177,0.73600000,1.27464177,-0.05472000,-0.04032000
0.48500000,-2.01085481,0.73325000,1.27760481,-0.05359250,-0.03964875
0.49000000,-2.01106976,0.73050000,1.28056976,-0.05243000,-0.03895500
0.49500000,-2.01128662,0.72775000,1.28353662,-0.05123250,-0.03823875
0.50000000,-2.01150538,0.72500000,1.28650538,-0.05000000,-0.03750000
0.50500000,-2.01172604,0.72225000,1.28947604,-0.04873250,-0.03673875
0.51000000,-2.01194859,0.71950000,1.29244859,-0.04743000,-0.03595500
0.51500000,-2.01217303,0.71675000,1.29542303,-0.04609250,-0.03514875
0.52000000,-2.01239935,0.71400000,1.29839935,-0.04472000,-0.03432000
0.52500000,-2.01262754,0.71125000,1.30137754,-0.04331250,-0.03346875
0.53000000,-2.01285761,0.70850000,1.30435761,-0.04187000,-0.03259500
0.53500000,-2.01308953,0.70575000,1.30733953,-0.04039250,-0.03169875
0.54000000,-2.01332332,0.70300000,1.31032332,-0.03888000,-0.03078000
0.54500000,-2.01355896,0.70025000,1.31330896,-0.03733250,-0.02983875
0.55000000,-2.01379645,0.69750000,1.31629645,-0.03575000,-0.02887500
0.55500000,-2.01403578,0.69475000,1.31928578,-0.03413250,-0.02788875
0.56000000,-2.01427696,0.69200000,1.32227696,-0.03248000,-0.02688000
0.56500000,-2.01451996,0.68925000,1.32526996,-0.03079250,-0.02584875
0.57000000,-2.01476479,0.68650000,1.32826479,-0.02907000,-0.02479500
0.57500000,-2.01501144,0.68375000,1.33126144,-0.02731250,-0.02371875
0.58000000,-2.01525991,0.68100000,1.33425991,-0.02552000,-0.02262000
0.58500000,-2.01551019,0.67825000,1.33726019,-0.02369250,-0.02149875
0.59000000,-2.01576227,0.67550000,1.34026227,-0.02183000,-0.02035500
0.59500000,-2.01601616,0.67275000,1.34326616,-0.01993250,-0.01918875
0.60000000,-2.01627184,0.67000000,1.34627184,-0.01800000,-0.01800000
0.60500000,-2.01652931,0.66725000,1.34927931,-0.01603250,-0.01678875
0.61000000,-2.01678857,0.66450000,1.35228857,-0.01403000,-0.01555500
0.61500000,-2.01704960,0.66175000,1.35529960,-0.01199250,-0.01429875
0.62000000,-2.01731242,0.65900000,1.35831242,-0.00992000,-0.01302000
0.62500000,-2.01757700,0.65625000,1.36132700,-0.00781250,-0.01171875
0.63000000,-2.01784334,0.65350000,1.36434334,-0.00567000,-0.01039500
0.63500000,-2.01811144,0.65075000,1.36736144,-0.00349250,-0.00904875
0.64000000,-2.01838130,0.64800000,1.37038130,-0.00128000,-0.00768000
0.64500000,-2.01865291,0.64525000,1.37340291,0.00096750,-0.00628875
0.65000000,-2.01892626,0.64250000,1.37642626,0.00325000,-0.00487500
0.65500000,-2.01920135,0.63975000,1.37945135,0.00556750,-0.00343875
0.66000000,-2.01947817,0.63700000,1.38247817,0.00792000,-0.00198000
0.66500000,-2.01975673,0.63425000,1.38550673,0.01030750,-0.00049875
0.67000000,-2.02003700,0.63150000,1.38853700,0.01273000,0.00100500
0.67500000,-2.02031900,0.62875000,1.39156900,0.01518750,0.00253125
0.68000000,-2.02060271,0.62600000,1.39460271,0.01768000,0.00408000
0.68500000,-2.02088812,0.62325000,1.39763812,0.02020750,0.00565125
0.69000000,-2.02117524,0.62050000,1.40067524,0.02277000,0.00724500
0.69500000,-2.02146406,0.61775000,1.40371406,0.02536750,0.00886125
0.70000000,-2.02175458,0.61500000,1.40675458,0.02800000,0.01050000
0.70500000,-2.02204678,0.61225000,1.40979678,0.03066750,0.01216125
0.71000000,-2.02234066,0.60950000,1.41284066,0.03337000,0.01384500
0.71500000,-2.02263623,0.60675000,1.41588623,0.03610750,0.01555125
0.72000000,-2.02293347,0.60400000,1.41893347,0.03888000,0.01728000
0.72500000,-2.02323238,0.60125000,1.42198238,0.04168750,0.01903125
0.73000000,-2.02353295,0.59850000,1.42503295,0.04453000,0.02080500
0.73500000,-2.02383518,0.59575000,1.42808518,0.04740750,0.02260125
0.74000000,-2.02413907,0.59300000,1.43113907,0.05032000,0.02442000
0.74500000,-2.02444461,0.59025000,1.43419461,0.05326750,0.02626125
0.75000000,-2.02475179,0.58750000,1.43725179,0.05625000,0.02812500
0.75500000,-2.02506061,0.58475000,1.44031061,0.05926750,0.03001125
0.76000000,-2.02537107,0.58200000,1.44337107,0.06232000,0.03192000
0.76500000,-2.02568316,0.57925000,1.44643316,0.06540750,0.03385125
0.77000000,-2.02599687,0.57650000,1.44949687,0.06853000,0.03580500
0.77500000,-2.02631221,0.57375000,1.45256221,0.07168750,0.03778125
0.78000000,-2.02662916,0.57100000,1.45562916,0.07488000,0.03978000
0.78500000,-2.02694772,0.56825000,1.45869772,0.07810750,0.04180125
0.79000000,-2.02726790,0.56550000,1.46176790,0.08137000,0.04384500
0.79500000,-2.02758967,0.56275000,1.46483967,0.08466750,0.04591125
0.80000000,-2.02791304,0.56000000,1.46791304,0.08800000,0.04800000
0.80500000,-2.02823801,0.55725000,1.47098801,0.09136750,0.05011125
0.81000000,-2.02856456,0.55450000,1.47406456,0.09477000,0.05224500
0.81500000,-2.02889270,0.55175000,1.47714270,0.09820750,0.05440125
0.82000000,-2.02922241,0.54900000,1.48022241,0.10168000,0.05658000
0.82500000,-2.02955371,0.54625000,1.48330371,0.10518750,0.05878125
0.83000000,-2.02988657,0.54350000,1.48638657,0.10873000,0.06100500
0.83500000,-2.03022099,0.54075000,1.48947099,0.11230750,0.06325125
0.84000000,-2.03055698,0.53800000,1.49255698,0.11592000,0.06552000
0.84500000,-2.03089453,0.53525000,1.49564453,0.11956750,0.06781125
0.85000000,-2.03123362,0.53250000,1.49873362,0.12325000,0.07012500
0.85500000,-2.03157427,0.52975000,1.50182427,0.12696750,0.07246125
0.86000000,-2.03191645,0.52700000,1.50491645,0.13072000,0.07482000
0.86500000,-2.03226018,0.52425000,1.50801018,0.13450750,0.07720125
0.87000000,-2.03260544,0.52150000,1.51110544,0.13833000,0.07960500
0.87500000,-2.03295222,0.51875000,1.51420222,0.14218750,0.08203125
0.88000000,-2.03330054,0.51600000,1.51730054,0.14608000,0.08448000
0.88500000,-2.03365037,0.51325000,1.52040037,0.15000750,0.08695125
0.89000000,-2.03400172,0.51050000,1.52350172,0.15397000,0.08944500
0.89500000,-2.03435458,0.50775000,1.52660458,0.15796750,0.09196125
0.90000000,-2.03470895,0.50500000,1.52970895,0.16200000,0.09450000
0.90500000,-2.03506482,0.50225000,1.53281482,0.16606750,0.09706125
0.91000000,-2.03542219,0.49950000,1.53592219,0.17017000,0.09964500
0.91500000,-2.03578106,0.49675000,1.53903106,0.17430750,0.10225125
0.92000000,-2.03614141,0.49400000,1.54214141,0.17848000,0.10488000
0.92500000,-2.03650325,0.49125000,1.54525325,0.18268750,0.10753125
0.93000000,-2.03686658,0.48850000,1.54836658,0.18693000,0.11020500
0.93500000,-2.03723137,0.48575000,1.55148137,0.19120750,0.11290125
0.94000000,-2.03759764,0.48300000,1.55459764,0.19552000,0.11562000
0.94500000,-2.03796538,0.48025000,1.55771538,0.19986750,0.11836125
