beta_blue,Cv_blue_over_kB,beta_red,Cv_red_over_kB
4.391080617495711991e+00,7.418020679468242395e-01,4.528301886792452713e+00,6.186115214180206712e-01
4.425385934819897393e+00,7.400295420974888350e-01,4.562607204116638115e+00,6.124076809453471437e-01
4.459691252144081908e+00,7.382570162481536524e-01,4.596912521440823518e+00,6.053175775480058585e-01
4.493996569468267310e+00,7.364844903988182478e-01,4.631217838765008921e+00,5.982274741506646842e-01
4.528301886792452713e+00,7.347119645494830653e-01,4.665523156089193435e+00,5.920236336779910458e-01
4.562607204116638115e+00,7.338257016248151965e-01,4.699828473413378838e+00,5.858197932053175183e-01
4.596912521440823518e+00,7.320531757754801250e-01,4.734133790737564240e+00,5.787296898079763441e-01
4.631217838765008921e+00,7.302806499261446094e-01,4.768439108061749643e+00,5.725258493353027056e-01
4.665523156089193435e+00,7.293943870014770736e-01,4.802744425385935045e+00,5.663220088626292892e-01
4.699828473413378838e+00,7.285081240768095379e-01,4.837049742710120448e+00,5.601181683899556507e-01
4.734133790737564240e+00,7.267355982274740223e-01,4.871355060034304962e+00,5.539143279172821233e-01
4.768439108061749643e+00,7.258493353028064865e-01,4.905660377358490365e+00,5.477104874446084848e-01
4.802744425385935045e+00,7.249630723781389507e-01,4.939965694682675768e+00,5.406203840472673106e-01
4.837049742710120448e+00,7.240768094534711929e-01,4.974271012006861170e+00,5.361890694239291877e-01
4.871355060034304962e+00,7.231905465288034351e-01,5.008576329331046573e+00,5.290989660265877914e-01
4.905660377358490365e+00,7.223042836041358994e-01,5.042881646655231975e+00,5.228951255539142640e-01
4.939965694682675768e+00,7.223042836041358994e-01,5.077186963979416490e+00,5.166912850812407365e-01
4.974271012006861170e+00,7.223042836041358994e-01,5.111492281303601892e+00,5.113737075332348558e-01
5.008576329331046573e+00,7.214180206794683636e-01,5.145797598627787295e+00,5.051698670605613284e-01
5.042881646655231975e+00,7.205317577548004948e-01,5.180102915951972697e+00,4.998522895125554477e-01
5.077186963979416490e+00,7.205317577548004948e-01,5.214408233276158100e+00,4.945347119645494005e-01
5.111492281303601892e+00,7.205317577548004948e-01,5.248713550600342614e+00,4.883308714918759286e-01
5.145797598627787295e+00,7.205317577548004948e-01,5.283018867924528017e+00,4.821270310192023456e-01
5.180102915951972697e+00,7.205317577548004948e-01,5.317324185248713420e+00,4.776957163958640562e-01
5.214408233276158100e+00,7.205317577548004948e-01,5.351629502572898822e+00,4.723781388478581755e-01
5.248713550600342614e+00,7.205317577548004948e-01,5.385934819897084225e+00,4.670605612998522949e-01
5.283018867924528017e+00,7.205317577548004948e-01,5.420240137221269627e+00,4.617429837518464142e-01
5.317324185248713420e+00,7.205317577548004948e-01,5.454545454545454142e+00,4.564254062038404225e-01
5.351629502572898822e+00,7.205317577548004948e-01,5.488850771869639544e+00,4.511078286558345418e-01
5.385934819897084225e+00,7.205317577548004948e-01,5.523156089193824947e+00,4.457902511078286611e-01
5.420240137221269627e+00,7.214180206794683636e-01,5.557461406518010349e+00,4.404726735598227805e-01
5.454545454545454142e+00,7.223042836041358994e-01,5.591766723842195752e+00,4.360413589364844911e-01
5.488850771869639544e+00,7.223042836041358994e-01,5.626072041166381155e+00,4.316100443131461462e-01
5.523156089193824947e+00,7.223042836041358994e-01,5.660377358490565669e+00,4.262924667651402655e-01
5.557461406518010349e+00,7.223042836041358994e-01,5.694682675814751072e+00,4.218611521418021426e-01
5.591766723842195752e+00,7.240768094534711929e-01,5.728987993138936474e+00,4.165435745937960954e-01
5.626072041166381155e+00,7.240768094534711929e-01,5.763293310463121877e+00,4.112259970457902147e-01
5.660377358490565669e+00,7.240768094534711929e-01,5.797598627787307279e+00,4.059084194977843341e-01
5.694682675814751072e+00,7.249630723781389507e-01,5.831903945111492682e+00,4.023633677991137469e-01
5.728987993138936474e+00,7.258493353028064865e-01,5.866209262435677196e+00,3.970457902511078663e-01
5.763293310463121877e+00,7.267355982274740223e-01,5.900514579759862599e+00,3.917282127031018746e-01
5.797598627787307279e+00,7.276218611521417801e-01,5.934819897084048002e+00,3.872968980797636962e-01
5.831903945111492682e+00,7.276218611521417801e-01,5.969125214408233404e+00,3.828655834564254068e-01
5.866209262435677196e+00,7.293943870014770736e-01,6.003430531732418807e+00,3.784342688330871174e-01
5.900514579759862599e+00,7.293943870014770736e-01,6.037735849056604209e+00,3.748892171344165303e-01
5.934819897084048002e+00,7.302806499261446094e-01,6.072041166380788724e+00,3.704579025110783519e-01
5.969125214408233404e+00,7.311669128508123672e-01,6.106346483704974126e+00,3.660265878877400625e-01
6.003430531732418807e+00,7.320531757754801250e-01,6.140651801029159529e+00,3.615952732644017176e-01
6.037735849056604209e+00,7.329394387001476607e-01,6.174957118353344931e+00,3.571639586410634282e-01
6.072041166380788724e+00,7.338257016248151965e-01,6.209262435677530334e+00,3.536189069423928411e-01
6.106346483704974126e+00,7.347119645494830653e-01,6.243567753001714848e+00,3.483013293943869604e-01
6.140651801029159529e+00,7.355982274741507121e-01,6.277873070325900251e+00,3.447562776957163733e-01
6.174957118353344931e+00,7.364844903988182478e-01,6.312178387650085654e+00,3.412112259970457862e-01
6.209262435677530334e+00,7.373707533234860056e-01,6.346483704974271056e+00,3.367799113737074967e-01
6.243567753001714848e+00,7.391432791728212992e-01,6.380789022298456459e+00,3.323485967503693184e-01
6.277873070325900251e+00,7.400295420974888350e-01,6.415094339622641861e+00,3.288035450516986202e-01
6.312178387650085654e+00,7.409158050221565928e-01,6.449399656946826376e+00,3.252584933530280331e-01
