beta,Cv_no_GP_over_kB,Cv_GP_over_kB,phase_delta,interference_no_GP,interference_GP,path_ratio,splitting_no_GP,splitting_GP
3.974348697394789465e+00,6.978141137051300236e-01,2.868847628716981180e-01,1.145831388684052765e+00,7.061444193754595755e-01,2.938555806245404245e-01,2.735470941883767493e-01,1.273547094188376860e+00,7.264529058116232507e-01
4.013627254509017916e+00,7.018598487740196346e-01,2.816461695898425655e-01,1.158422942405855416e+00,7.003924417556343096e-01,2.996075582443656904e-01,2.765531062124248485e-01,1.276553106212424904e+00,7.234468937875750960e-01
4.052905811623246812e+00,7.058098786400025526e-01,2.764404354435826550e-01,1.171014496127658289e+00,6.946086928900053747e-01,3.053913071099946253e-01,2.795591182364729477e-01,1.279559118236472948e+00,7.204408817635270523e-01
4.092184368737474820e+00,7.096599657305842079e-01,2.712704683503838199e-01,1.183606049849461161e+00,6.887940897637907511e-01,3.112059102362092489e-01,2.825651302605210469e-01,1.282565130260520991e+00,7.174348697394790086e-01
4.131462925851703716e+00,7.134061023770699173e-01,2.661390120845359974e-01,1.196197603571263812e+00,6.829495542540012787e-01,3.170504457459987213e-01,2.855711422845691461e-01,1.285571142284569035e+00,7.144288577154308539e-01
4.170741482965932612e+00,7.170445104692729776e-01,2.610486490548626914e-01,1.208789157293066685e+00,6.770760129832810170e-01,3.229239870167189830e-01,2.885771543086172453e-01,1.288577154308617301e+00,7.114228456913826992e-01
4.210020040080160619e+00,7.205716405275652825e-01,2.560018034029906131e-01,1.221380711014869336e+00,6.711743971729967617e-01,3.288256028270032383e-01,2.915831663326653445e-01,1.291583166332665344e+00,7.084168336673346555e-01
4.249298597194389515e+00,7.239841702356563102e-01,2.510007443805046812e-01,1.233972264736672209e+00,6.652456424955963676e-01,3.347543575044036324e-01,2.945891783567134437e-01,1.294589178356713388e+00,7.054108216432866119e-01
4.288577154308617523e+00,7.272790024759300254e-01,2.460475899661561938e-01,1.246563818458474859e+00,6.592906889262633019e-01,3.407093110737366981e-01,2.975951903807615428e-01,1.297595190380761654e+00,7.024048096192384572e-01
4.327855711422846419e+00,7.304532629075205508e-01,2.411443106870530262e-01,1.259155372180277732e+00,6.533104805938872994e-01,3.466895194061127006e-01,3.006012024048096420e-01,1.300601202404809698e+00,6.993987975951903024e-01
4.367134268537074426e+00,7.335042971256642286e-01,2.362927336104393428e-01,1.271746925902080605e+00,6.473059656313782106e-01,3.526940343686217894e-01,3.036072144288576857e-01,1.303607214428857741e+00,6.963927855711422588e-01
4.406412825651303322e+00,7.364296674392122322e-01,2.314945464752415916e-01,1.284338479623883256e+00,6.412780960253436913e-01,3.587219039746563087e-01,3.066132264529057849e-01,1.306613226452905785e+00,6.933867735470942151e-01
4.445691382765531330e+00,7.392271493015273309e-01,2.267513019350286541e-01,1.296930033345686128e+00,6.352278274651561585e-01,3.647721725348438970e-01,3.096192384769538841e-01,1.309619238476953829e+00,6.903807615230461714e-01
4.484969939879760226e+00,7.418947274283480553e-01,2.220644218863838670e-01,1.309521587067488779e+00,6.291561191914332163e-01,3.708438808085667282e-01,3.126252505010019833e-01,1.312625250501001872e+00,6.873747494989980167e-01
4.524248496993988233e+00,7.444305916345763663e-01,2.174352018589306157e-01,1.322113140789291652e+00,6.230639338439548647e-01,3.769360661560451353e-01,3.156312625250500825e-01,1.315631262525050138e+00,6.843687374749498620e-01
4.563527054108217129e+00,7.468331324203347776e-01,2.128648154453699481e-01,1.334704694511094303e+00,6.169522373090412515e-01,3.830477626909588040e-01,3.186372745490981817e-01,1.318637274549098182e+00,6.813627254509018183e-01
4.602805611222445137e+00,7.491009363350727979e-01,2.083543187518988871e-01,1.347296248232897176e+00,6.108219985664160578e-01,3.891780014335839422e-01,3.216432865731462809e-01,1.321643286573146225e+00,6.783567134268537746e-01
4.642084168336674033e+00,7.512327811469622363e-01,2.039046548512581658e-01,1.359887801954700048e+00,6.046741895355801644e-01,3.953258104644198356e-01,3.246492985971943801e-01,1.324649298597194491e+00,6.753507014028056199e-01
4.681362725450902040e+00,7.532276308433084600e-01,1.995166582224396912e-01,1.372479355676502699e+00,5.985097849217179133e-01,4.014902150782820867e-01,3.276553106212424793e-01,1.327655310621242535e+00,6.723446893787574652e-01
4.720641282565130936e+00,7.550846304862554037e-01,1.951910591627339375e-01,1.385070909398305572e+00,5.923297620611622794e-01,4.076702379388377762e-01,3.306613226452905785e-01,1.330661322645290578e+00,6.693386773547094215e-01
