sweep,chain_0,chain_1,chain_2,chain_3
19100,-1.0766756917171638,-1.0921912943567154,-0.9276939668009371,-0.9487763101951232
19200,-1.0516198972738626,-0.8466113683181142,-1.1136124968626002,-1.0204222345860297
19300,-1.0247216970966695,-0.7121846835350604,-0.8109703953716678,-1.0593383863146335
19400,-0.9426963296069937,-1.0945763149173524,-1.0977215997005423,-0.5694580545811606
19500,-1.239329586643172,-0.9779634465596132,-0.9285420978243117,-1.0875942010207498
19600,-0.7109612873214955,-1.1334622478513596,-1.0138426468164952,-0.9067768737141488
19700,-1.2005797789468216,-1.3432330779295831,-0.985077732500193,-1.091820696070813
19800,-1.0508378946922297,-0.9968521253660428,-1.0946192769614542,-1.0323468414284789
19900,-0.9459158101615744,-1.0171018310833824,-0.975762578299723,-1.0688630007191249
20000,-1.0154378803007673,-1.092923059145766,-1.0104559130645363,-1.1557353019970964
20100,-1.3349975489133556,-0.8110778884190379,-0.9567438842764926,-1.0401805934649515
20200,-0.8656281870287343,-1.049697578309528,-1.1532615678220908,-1.1553686174128375
20300,-1.2303665075514256,-0.9253232685223417,-1.2204700661779782,-0.9025272345858952
20400,-0.9623175663260051,-1.0415963747704915,-1.1600821765526577,-1.0226392907967699
20500,-1.3181521535062446,-0.9122129089764212,-0.985643791121029,-1.1232638992942074
20600,-0.9285002641156256,-0.9227547135526263,-1.1083222176806429,-1.0816558207138927
20700,-1.051249996006256,-1.1043001128359593,-1.0542782359010303,-1.0268707838351765
20800,-1.0029921135739748,-0.7854077980138279,-1.2463365686167343,-1.028024125825271
20900,-1.1579591383477439,-1.0088035460894031,-1.0068004977011802,-1.0757187960792491
21000,-1.14648492005694,-1.2350106726194248,-1.031258364056439,-0.936544204647244
21100,-1.0189397797321815,-1.194351326194001,-0.8116964102944345,-1.0877318849641442
21200,-0.9951317960593745,-1.1121041697293943,-1.0702395167399916,-1.1294006882628265
21300,-1.124923797228888,-1.2522643933784015,-0.9642421103894492,-0.9998239727301982
21400,-1.066950621818266,-0.8368373082959286,-0.9248215862409448,-0.9322131486561422
21500,-0.8897030730738155,-0.7599854825166339,-1.0782462107021504,-0.965894177916622
21600,-1.104386781251437,-1.004004610789214,-1.1884585236253713,-0.6788653356756732
21700,-1.0018687467431386,-1.0223258054341604,-1.0022843821901197,-1.0038674157813474
21800,-0.9942000188770641,-1.014134175214673,-1.3113772636057153,-1.0271855684888989
21900,-0.8880614301405197,-0.8413756466552018,-1.2848842028137697,-1.0760750384869306
22000,-1.1478383427312768,-1.0305825191597697,-1.2265662270736153,-0.9725571769818947
22100,-0.9412150889964178,-1.2336051639538872,-1.0758821148644042,-0.9712934901844026
