window,center,x,pooled_count
0,-1.5,1.5779999999999998,0
0,-1.5,1.5899999999999999,0
0,-1.5,1.6019999999999999,0
0,-1.5,1.6139999999999999,0
0,-1.5,1.626,0
0,-1.5,1.638,0
0,-1.5,1.65,0
0,-1.5,1.662,0
0,-1.5,1.674,0
0,-1.5,1.686,0
0,-1.5,1.698,0
0,-1.5,1.71,0
0,-1.5,1.722,0
0,-1.5,1.734,0
0,-1.5,1.746,0
0,-1.5,1.758,0
0,-1.5,1.77,0
0,-1.5,1.782,0
0,-1.5,1.794,0
1,-1.35,-1.794,0
1,-1.35,-1.782,0
1,-1.35,-1.77,0
1,-1.35,-1.758,0
1,-1.35,-1.746,0
1,-1.35,-1.734,0
1,-1.35,-1.722,0
1,-1.35,-1.71,0
1,-1.35,-1.698,0
1,-1.35,-1.686,0
1,-1.35,-1.6740000000000002,0
1,-1.35,-1.6620000000000001,0
1,-1.35,-1.6500000000000001,0
1,-1.35,-1.6380000000000001,0
1,-1.35,-1.6260000000000001,0
1,-1.35,-1.614,0
1,-1.35,-1.602,0
1,-1.35,-1.59,0
1,-1.35,-1.578,0
1,-1.35,-1.566,0
1,-1.35,-1.554,0
1,-1.35,-1.542,0
1,-1.35,-1.53,0
1,-1.35,-1.518,0
1,-1.35,-1.506,0
1,-1.35,-1.494,1
1,-1.35,-1.482,0
1,-1.35,-1.47,1
1,-1.35,-1.458,9
1,-1.35,-1.446,8
1,-1.35,-1.434,20
1,-1.35,-1.422,41
1,-1.35,-1.41,56
1,-1.35,-1.398,100
1,-1.35,-1.3860000000000001,124
1,-1.35,-1.374,238
1,-1.35,-1.362,376
1,-1.35,-1.35,506
1,-1.35,-1.338,743
1,-1.35,-1.326,967
1,-1.35,-1.314,1297
1,-1.35,-1.302,1655
1,-1.35,-1.29,2058
1,-1.35,-1.278,2628
1,-1.35,-1.266,3203
1,-1.35,-1.254,3698
1,-1.35,-1.242,4212
1,-1.35,-1.23,4734
1,-1.35,-1.218,5107
1,-1.35,-1.2060000000000002,5383
1,-1.35,-1.1940000000000002,5567
1,-1.35,-1.1820000000000002,5693
1,-1.35,-1.1700000000000002,5692
1,-1.35,-1.1580000000000001,5588
1,-1.35,-1.1460000000000001,5275
1,-1.35,-1.1340000000000001,4809
1,-1.35,-1.122,4385
1,-1.35,-1.11,4071
1,-1.35,-1.098,3427
1,-1.35,-1.086,3001
1,-1.35,-1.074,2539
1,-1.35,-1.062,2049
1,-1.35,-1.05,1570
1,-1.35,-1.038,1311
1,-1.35,-1.026,1023
1,-1.35,-1.014,782
1,-1.35,-1.002,586
1,-1.35,-0.99,452
1,-1.35,-0.978,307
1,-1.35,-0.966,230
1,-1.35,-0.9540000000000001,149
1,-1.35,-0.9420000000000001,125
1,-1.35,-0.93,72
1,-1.35,-0.918,44
1,-1.35,-0.906,37
1,-1.35,-0.894,22
1,-1.35,-0.882,15
1,-1.35,-0.87,7
1,-1.35,-0.858,4
1,-1.35,-0.8460000000000001,0
1,-1.35,-0.8340000000000001,1
1,-1.35,-0.8220000000000001,1
1,-1.35,-0.81,1
1,-1.35,-0.798,0
1,-1.35,-0.786,0
1,-1.35,-0.774,0
1,-1.35,-0.762,0
1,-1.35,-0.75,0
1,-1.35,-0.738,0
1,-1.35,-0.726,0
1,-1.35,-0.714,0
1,-1.35,-0.702,0
1,-1.35,-0.69,0
1,-1.35,-0.6779999999999999,0
1,-1.35,-0.6659999999999999,0
1,-1.35,-0.6539999999999999,0
1,-1.35,-0.642,0
1,-1.35,-0.6300000000000001,0
1,-1.35,-0.6180000000000001,0
1,-1.35,-0.6060000000000001,0
1,-1.35,-0.5940000000000001,0
1,-1.35,-0.5820000000000001,0
1,-1.35,-0.5700000000000001,0
1,-1.35,-0.558,0
1,-1.35,-0.546,0
1,-1.35,-0.534,0
1,-1.35,-0.522,0
1,-1.35,-0.51,0
1,-1.35,-0.498,0
1,-1.35,-0.486,0
1,-1.35,-0.474,0
1,-1.35,-0.46199999999999997,0
1,-1.35,-0.44999999999999996,0
1,-1.35,-0.43799999999999994,0
1,-1.35,-0.42599999999999993,0
1,-1.35,-0.4139999999999999,0
1,-1.35,-0.4019999999999999,0
1,-1.35,-0.39,0
1,-1.35,-0.3780000000000001,0
1,-1.35,-0.3660000000000001,0
1,-1.35,-0.3540000000000001,0
1,-1.35,-0.3420000000000001,0
1,-1.35,-0.33000000000000007,0
1,-1.35,-0.31800000000000006,0
1,-1.35,-0.30600000000000005,0
1,-1.35,-0.29400000000000004,0
1,-1.35,-0.28200000000000003,0
1,-1.35,-0.27,0
1,-1.35,-0.258,0
1,-1.35,-0.246,0
1,-1.35,-0.23399999999999999,0
