x,analytic_F,wham_mean,wham_run_sd,plain_pooled_F
-0.8220000000000001,1.4900789428479997,1.5077854613884725,0.07668262713760718,-1.7350098806540524
-0.81,1.633937679999999,1.6626807410283957,0.06584098870474224,-1.5980984976967223
-0.798,1.7816826753279997,1.8041694816256229,0.06670826220224324,-1.4414381242704166
-0.786,1.9330471809279999,1.9410845890389654,0.06708111115906794,-1.3023279341037763
-0.774,2.0877684302079995,2.100394198833915,0.08407013928635325,-1.1073957676130466
-0.762,2.2455876378879998,2.2773450794956247,0.06602540618154079,-0.9798179133325233
-0.75,2.40625,2.4265119878012587,0.058547657166860695,-0.8274244593909605
-0.738,2.5695046938879997,2.5867276233523753,0.07606956039513754,-0.6380274779287947
-0.726,2.7351048782080003,2.7713361426311036,0.060884438977175,-0.48296438927911445
-0.714,2.902807692928001,2.9235642838373743,0.06711615335243361,-0.34151229278898376
-0.702,3.072374259328,3.0708992960322448,0.06176663791753077,-0.1281134312541874
-0.69,3.2435696800000002,3.2573768044975115,0.07324772381349687,0.035957207829753646
-0.6779999999999999,3.416163038848,3.4408799659969826,0.048551144485012215,0.17300045656581586
-0.6659999999999999,3.589927401088002,3.602570453245537,0.08899953373018936,0.38314617320647404
-0.6539999999999999,3.7646398132480012,3.7866085313352795,0.08264733099915317,0.5214170953121808
-0.642,3.940081303168,3.958297329545523,0.10034039519526262,0.7306393081077824
-0.6300000000000001,4.1160368799999985,4.142716683226264,0.07532375698028905,0.9185061656181626
-0.6180000000000001,4.292295534207998,4.315429150208983,0.07517939075340065,1.0395382178248962
-0.6060000000000001,4.468650237567998,4.474279517409944,0.10513738020544897,1.2889119124967379
-0.5940000000000001,4.644897943167998,4.678469698938028,0.060571367560639564,1.3905508012315693
-0.5820000000000001,4.820839585408,4.826571763681495,0.0877473203305512,1.5444538643681978
-0.5700000000000001,4.996280079999999,5.01580179484035,0.06411572867704624,1.8087263608311615
-0.558,5.171028323967999,5.193140702912774,0.07250464636836826,1.8959429712745646
-0.546,5.344897195648,5.344605233450726,0.07539791469933739,2.14024474809612
-0.534,5.517703554688001,5.546946389105609,0.06972722823116538,2.2187163635376157
-0.522,5.6892682420480005,5.685645105940888,0.08079189483201268,2.3969645949439347
-0.51,5.85941608,5.863024023209395,0.08105892242497277,2.58909015183451
-0.498,6.027975872128001,6.045406073403733,0.0865247958937277,2.8460503255279894
-0.486,6.194780403328,6.206287301505263,0.09066149049219824,3.066014223924819
-0.474,6.359666439808,6.342620747066952,0.07462526830184153,3.2675671426466613
-0.46199999999999997,6.5224747290880005,6.535773350151629,0.08524442734225252,3.337947939408461
-0.44999999999999996,6.6830500000000015,6.706486828644008,0.07984095056057287,3.5328482784092756
-0.43799999999999994,6.841240962688001,6.8699800350266225,0.09176976608682218,3.4596448743859805
-0.42599999999999993,6.996900308608001,7.000588911041123,0.08774406373155397,3.841853120329878
-0.4139999999999999,7.149884710528001,7.1577115228110175,0.08037545396037077,3.970470498151972
-0.4019999999999999,7.300054822528001,7.342556329509594,0.0851065568550809,4.164626512592929
-0.39,7.44727528,7.43391996240292,0.084879390014828,4.21341667676236
-0.3780000000000001,7.5914146996479985,7.602723942609175,0.06800875491224823,4.318777192420187
-0.3660000000000001,7.732345679487999,7.73492262370175,0.09705759635754353,4.811253677517981
-0.3540000000000001,7.869944798847999,7.863832772282678,0.06820063223576397,4.683420306008096
-0.3420000000000001,8.004092618367999,8.017496267385061,0.08193446821339245,4.535000300889823
-0.33000000000000007,8.13467368,8.126006348685282,0.06069527128055872,5.1942459297740875
-0.31800000000000006,8.261576507008,8.255849041684398,0.06879038140385499,5.417389481088297
-0.30600000000000005,8.384693603968,8.40096751414701,0.0831318576518131,5.1942459297740875
-0.29400000000000004,8.503921456768,8.51064460425436,0.08734135773587158,5.822854589196461
-0.28200000000000003,8.619160532608,8.62350653410595,0.06013246768153416,5.599711037882251
-0.27,8.730315280000001,8.743377531388814,0.0560134058913499,6.516001769756406
-0.258,8.837294128768,8.83060078403898,0.07313952067257629,5.599711037882251
-0.246,8.940009490048,8.95590852834529,0.09151344274664584,5.599711037882251
-0.23399999999999999,9.038377756288,9.035664035984713,0.10686824250567292,5.956385981820984
-0.22199999999999998,9.132319301248,9.144807790491745,0.052320562004800716,6.110536661648243
-0.20999999999999996,9.22175848,9.195468416904069,0.07332210792036953,5.705071553540078
-0.19799999999999995,9.306623628928,9.300407857230685,0.07363333929868206,5.822854589196461
-0.18599999999999994,9.386847065728,9.382989631497052,0.05340446139169113,6.516001769756406
-0.17399999999999993,9.462365089408001,9.434409289054871,0.07990764741960879,6.516001769756406
-0.16199999999999992,9.533117980288,9.53838370462177,0.10273679225762389,6.110536661648243
-0.1499999999999999,9.599050000000002,9.619263370541347,0.13430118972221786,7.902296130876297
-0.138,9.660109391488001,9.630774555501,0.07436695247945209,7.209148950316352
-0.1260000000000001,9.716248379008,9.740535493381035,0.08305523797850149,7.902296130876297
-0.1140000000000001,9.767423168128,9.767697480019706,0.08162704284212302,6.803683842208188
