T_K,time_au,time_fs,DVR_flux_au,analytic_flux_au
200.0,6200.0,149.9708266,2.786303788671348e-10,2.7863079018930215e-10
200.0,6300.0,152.3897109,2.786303927157891e-10,2.7863079018930215e-10
200.0,6400.0,154.8085952,2.786304058547433e-10,2.7863079018930215e-10
200.0,6500.0,157.22747950000002,2.786304183323638e-10,2.7863079018930215e-10
200.0,6600.0,159.64636380000002,2.786304301997615e-10,2.7863079018930215e-10
200.0,6700.0,162.06524810000002,2.786304415024774e-10,2.7863079018930215e-10
200.0,6800.0,164.48413240000002,2.7863045227725463e-10,2.7863079018930215e-10
200.0,6900.0,166.90301670000002,2.7863046255433924e-10,2.7863079018930215e-10
200.0,7000.0,169.321901,2.7863047236153843e-10,2.7863079018930215e-10
200.0,7100.0,171.7407853,2.786304817265495e-10,2.7863079018930215e-10
200.0,7200.0,174.1596696,2.7863049067676114e-10,2.7863079018930215e-10
200.0,7300.0,176.5785539,2.7863049923787353e-10,2.7863079018930215e-10
200.0,7400.0,178.9974382,2.786305074329619e-10,2.7863079018930215e-10
200.0,7500.0,181.4163225,2.786305152825949e-10,2.7863079018930215e-10
200.0,7600.0,183.8352068,2.7863052280559355e-10,2.7863079018930215e-10
200.0,7700.0,186.2540911,2.786305300197084e-10,2.7863079018930215e-10
200.0,7800.0,188.6729754,2.7863053694184806e-10,2.7863079018930215e-10
200.0,7900.0,191.09185970000001,2.7863054358795683e-10,2.7863079018930215e-10
200.0,8000.0,193.51074400000002,2.7863054997284564e-10,2.7863079018930215e-10
200.0,8100.0,195.92962830000002,2.7863055611018323e-10,2.7863079018930215e-10
200.0,8200.0,198.34851260000002,2.78630562012644e-10,2.7863079018930215e-10
200.0,8300.0,200.76739690000002,2.7863056769209697e-10,2.7863079018930215e-10
200.0,8400.0,203.18628120000002,2.786305731597253e-10,2.7863079018930215e-10
200.0,8500.0,205.60516550000003,2.786305784260686e-10,2.7863079018930215e-10
200.0,8600.0,208.0240498,2.7863058350102354e-10,2.7863079018930215e-10
200.0,8700.0,210.4429341,2.7863058839385853e-10,2.7863079018930215e-10
200.0,8800.0,212.8618184,2.7863059311325883e-10,2.7863079018930215e-10
200.0,8900.0,215.2807027,2.7863059766738436e-10,2.7863079018930215e-10
200.0,9000.0,217.699587,2.7863060206392526e-10,2.7863079018930215e-10
200.0,9100.0,220.1184713,2.7863060631013726e-10,2.7863079018930215e-10
200.0,9200.0,222.5373556,2.7863061041286603e-10,2.7863079018930215e-10
200.0,9300.0,224.9562399,2.786306143785657e-10,2.7863079018930215e-10
