T_K,imaginary_time_fraction,x
100.0,0.6171875,-0.863154850486922
100.0,0.62109375,-0.8501152808966251
100.0,0.625,-0.8365045164719177
100.0,0.62890625,-0.8223061863912643
100.0,0.6328125,-0.8075030415087353
100.0,0.63671875,-0.7920769418007195
100.0,0.640625,-0.776008852412843
100.0,0.64453125,-0.7592788511717146
100.0,0.6484375,-0.7418661511186135
100.0,0.65234375,-0.7237491424525886
100.0,0.65625,-0.7049054592549223
100.0,0.66015625,-0.6853120775175693
100.0,0.6640625,-0.664945452318209
100.0,0.66796875,-0.6437817034616834
100.0,0.671875,-0.6217968605038137
100.0,0.67578125,-0.5989671797115574
100.0,0.6796875,-0.5752695470575699
100.0,0.68359375,-0.550681982580267
100.0,0.6875,-0.5251842620360646
100.0,0.69140625,-0.49875867126487816
100.0,0.6953125,-0.47139090646053816
100.0,0.69921875,-0.443071128800466
100.0,0.703125,-0.4137951737362409
100.0,0.70703125,-0.3835659027531713
100.0,0.7109375,-0.3523946678372347
100.0,0.71484375,-0.32030283603099835
100.0,0.71875,-0.28732329409263563
100.0,0.72265625,-0.2535018236845454
100.0,0.7265625,-0.2188982099514193
100.0,0.73046875,-0.1835869270695953
100.0,0.734375,-0.14765724103474004
100.0,0.73828125,-0.11121259010349059
100.0,0.7421875,-0.07436915173892604
100.0,0.74609375,-0.037253580922454656
100.0,0.75,-2.7899719370894044e-16
100.0,0.75390625,0.037253580922454094
100.0,0.7578125,0.0743691517389255
100.0,0.76171875,0.11121259010349004
100.0,0.765625,0.1476572410347395
100.0,0.76953125,0.18358692706959479
100.0,0.7734375,0.21889820995141873
100.0,0.77734375,0.2535018236845448
100.0,0.78125,0.2873232940926351
100.0,0.78515625,0.32030283603099785
100.0,0.7890625,0.3523946678372343
100.0,0.79296875,0.3835659027531709
100.0,0.796875,0.4137951737362404
100.0,0.80078125,0.44307112880046556
100.0,0.8046875,0.4713909064605378
100.0,0.80859375,0.4987586712648777
100.0,0.8125,0.5251842620360642
100.0,0.81640625,0.5506819825802667
100.0,0.8203125,0.5752695470575696
100.0,0.82421875,0.5989671797115571
100.0,0.828125,0.6217968605038132
100.0,0.83203125,0.6437817034616831
100.0,0.8359375,0.6649454523182087
100.0,0.83984375,0.6853120775175688
100.0,0.84375,0.7049054592549221
100.0,0.84765625,0.7237491424525883
100.0,0.8515625,0.7418661511186131
100.0,0.85546875,0.7592788511717145
100.0,0.859375,0.7760088524128426
100.0,0.86328125,0.7920769418007193
100.0,0.8671875,0.8075030415087351
100.0,0.87109375,0.8223061863912641
100.0,0.875,0.8365045164719174
100.0,0.87890625,0.8501152808966248
100.0,0.8828125,0.8631548504869216
100.0,0.88671875,0.8756387366011004
100.0,0.890625,0.8875816144802937
100.0,0.89453125,0.8989973496391482
100.0,0.8984375,0.9098990261708729
100.0,0.90234375,0.9202989760866206
100.0,0.90625,0.9302088090100322
100.0,0.91015625,0.9396394417083767
100.0,0.9140625,0.948601127069555
100.0,0.91796875,0.9571034822355223
100.0,0.921875,0.9651555156825179
100.0,0.92578125,0.9727656531010833
100.0,0.9296875,0.9799417619775461
100.0,0.93359375,0.9866911748162771
100.0,0.9375,0.9930207109707526
100.0,0.94140625,0.9989366970731323
100.0,0.9453125,1.004444986068101
100.0,0.94921875,1.0095509748683307
100.0,0.953125,1.0142596206569603
100.0,0.95703125,1.0185754558678122
100.0,0.9609375,1.0225026018771581
100.0,0.96484375,1.0260447814422615
100.0,0.96875,1.0292053299220079
100.0,0.97265625,1.0319872053139862
100.0,0.9765625,1.0343929971406458
100.0,0.98046875,1.0364249342148169
100.0,0.984375,1.0380848913120768
100.0,0.98828125,1.0393743947742904
100.0,0.9921875,1.0402946270652624
100.0,0.99609375,1.0408464302958258
180.0,0.0,0.5657519279879234
180.0,0.00390625,0.5656133039684824
180.0,0.0078125,0.565197396049366
180.0,0.01171875,0.5645040968033925
180.0,0.015625,0.5635332277043504
180.0,0.01953125,0.5622845399118219
180.0,0.0234375,0.5607577153823385
180.0,0.02734375,0.5589523683193465
180.0,0.03125,0.5568680469781296
180.0,0.03515625,0.5545042358455834
180.0,0.0390625,0.5518603582185606
180.0,0.04296875,0.5489357792084454
180.0,0.046875,0.5457298092036348
180.0,0.05078125,0.5422417078257487
180.0,0.0546875,0.5384706884196181
180.0,0.05859375,0.5344159231214279
180.0,0.0625,0.5300765485537761
180.0,0.06640625,0.5254516722008455
180.0,0.0703125,0.5205403795213052
180.0,0.07421875,0.5153417418609257
180.0,0.078125,0.5098548252311257
180.0,0.08203125,0.5040787000236705
180.0,0.0859375,0.4980124517354117
180.0,0.08984375,0.4916551927801324
180.0,0.09375,0.48500607546709357
180.0,0.09765625,0.4780643062275404
180.0,0.1015625,0.4708291611709965
180.0,0.10546875,0.4633000030523664
180.0,0.109375,0.45547629972835413
180.0,0.11328125,0.44735764417713786
180.0,0.1171875,0.4389437761482026
180.0,0.12109375,0.430234605499283
180.0,0.125,0.42123023726402686
180.0,0.12890625,0.4119309984767472
180.0,0.1328125,0.4023374667589812
180.0,0.13671875,0.39245050064598225
180.0,0.140625,0.38227127159928403
180.0,0.14453125,0.3718012976136547
180.0,0.1484375,0.3610424782827976
180.0,0.15234375,0.34999713113789693
180.0,0.15625,0.33866802901658843
180.0,0.16015625,0.32705843815747504
180.0,0.1640625,0.31517215664756465
180.0,0.16796875,0.30301355277802927
180.0,0.171875,0.29058760278899903
180.0,0.17578125,0.2778999274087663
180.0,0.1796875,0.2649568265193673
180.0,0.18359375,0.25176531121220663
180.0,0.1875,0.23833313243787613
180.0,0.19140625,0.22466880540771872
180.0,0.1953125,0.21078162887544505
180.0,0.19921875,0.19668169841975855
180.0,0.203125,0.1823799128678554
180.0,0.20703125,0.16788797304874092
180.0,0.2109375,0.1532183721475557
180.0,0.21484375,0.1383843770493704
180.0,0.21875,0.12340000021334789
180.0,0.22265625,0.10827996180409705
180.0,0.2265625,0.09303964202257697
180.0,0.23046875,0.07769502381799001
180.0,0.234375,0.06226262641654043
180.0,0.23828125,0.04675943036273588
180.0,0.2421875,0.031202795022724588
180.0,0.24609375,0.01561036973501836
180.0,0.25,3.895268795206956e-17
180.0,0.25390625,-0.015610369735018281
180.0,0.2578125,-0.031202795022724508
180.0,0.26171875,-0.04675943036273581
180.0,0.265625,-0.062262626416540345
180.0,0.26953125,-0.07769502381798993
180.0,0.2734375,-0.09303964202257693
180.0,0.27734375,-0.10827996180409698
180.0,0.28125,-0.1234000002133478
180.0,0.28515625,-0.13838437704937032
180.0,0.2890625,-0.15321837214755565
180.0,0.29296875,-0.1678879730487408
180.0,0.296875,-0.1823799128678553
180.0,0.30078125,-0.19668169841975844
180.0,0.3046875,-0.21078162887544502
180.0,0.30859375,-0.22466880540771864
180.0,0.3125,-0.23833313243787604
180.0,0.31640625,-0.2517653112122065
180.0,0.3203125,-0.2649568265193672
180.0,0.32421875,-0.27789992740876635
180.0,0.328125,-0.290587602788999
180.0,0.33203125,-0.3030135527780292
180.0,0.3359375,-0.31517215664756465
180.0,0.33984375,-0.327058438157475
180.0,0.34375,-0.33866802901658827
180.0,0.34765625,-0.34999713113789693
180.0,0.3515625,-0.3610424782827975
180.0,0.35546875,-0.37180129761365466
180.0,0.359375,-0.382271271599284
180.0,0.36328125,-0.39245050064598214
180.0,0.3671875,-0.40233746675898124
180.0,0.37109375,-0.4119309984767472
180.0,0.375,-0.4212302372640268
180.0,0.37890625,-0.43023460549928294
180.0,0.3828125,-0.4389437761482024
180.0,0.38671875,-0.44735764417713786
180.0,0.390625,-0.45547629972835413
180.0,0.39453125,-0.4633000030523664
180.0,0.3984375,-0.47082916117099644
180.0,0.40234375,-0.4780643062275403
180.0,0.40625,-0.4850060754670937
180.0,0.41015625,-0.4916551927801324
180.0,0.4140625,-0.4980124517354116
180.0,0.41796875,-0.5040787000236705
180.0,0.421875,-0.5098548252311256
180.0,0.42578125,-0.5153417418609256
180.0,0.4296875,-0.5205403795213052
180.0,0.43359375,-0.5254516722008455
180.0,0.4375,-0.5300765485537761
180.0,0.44140625,-0.5344159231214279
180.0,0.4453125,-0.5384706884196181
180.0,0.44921875,-0.5422417078257487
180.0,0.453125,-0.5457298092036348
180.0,0.45703125,-0.5489357792084454
180.0,0.4609375,-0.5518603582185606
180.0,0.46484375,-0.5545042358455833
180.0,0.46875,-0.5568680469781296
180.0,0.47265625,-0.5589523683193465
180.0,0.4765625,-0.5607577153823385
180.0,0.48046875,-0.5622845399118219
180.0,0.484375,-0.5635332277043503
180.0,0.48828125,-0.5645040968033925
180.0,0.4921875,-0.565197396049366
180.0,0.49609375,-0.5656133039684824
180.0,0.5,-0.5657519279879234
180.0,0.50390625,-0.5656133039684824
180.0,0.5078125,-0.565197396049366
180.0,0.51171875,-0.5645040968033925
180.0,0.515625,-0.5635332277043504
180.0,0.51953125,-0.5622845399118219
180.0,0.5234375,-0.5607577153823385
180.0,0.52734375,-0.5589523683193465
180.0,0.53125,-0.5568680469781296
180.0,0.53515625,-0.5545042358455834
180.0,0.5390625,-0.5518603582185606
180.0,0.54296875,-0.5489357792084454
180.0,0.546875,-0.5457298092036348
180.0,0.55078125,-0.5422417078257488
180.0,0.5546875,-0.5384706884196181
180.0,0.55859375,-0.5344159231214279
180.0,0.5625,-0.5300765485537761
180.0,0.56640625,-0.5254516722008455
180.0,0.5703125,-0.5205403795213053
180.0,0.57421875,-0.5153417418609257
180.0,0.578125,-0.5098548252311257
180.0,0.58203125,-0.5040787000236705
180.0,0.5859375,-0.4980124517354117
180.0,0.58984375,-0.4916551927801325
180.0,0.59375,-0.48500607546709373
180.0,0.59765625,-0.4780643062275404
180.0,0.6015625,-0.4708291611709965
180.0,0.60546875,-0.46330000305236646
180.0,0.609375,-0.4554762997283542
180.0,0.61328125,-0.447357644177138
180.0,0.6171875,-0.4389437761482025
180.0,0.62109375,-0.430234605499283
180.0,0.625,-0.42123023726402686
180.0,0.62890625,-0.4119309984767472
180.0,0.6328125,-0.4023374667589814
180.0,0.63671875,-0.3924505006459824
180.0,0.640625,-0.38227127159928437
180.0,0.64453125,-0.37180129761365494
180.0,0.6484375,-0.3610424782827974
180.0,0.65234375,-0.3499971311378968
180.0,0.65625,-0.3386680290165884
180.0,0.66015625,-0.32705843815747504
180.0,0.6640625,-0.31517215664756476
180.0,0.66796875,-0.3030135527780294
180.0,0.671875,-0.2905876027889991
180.0,0.67578125,-0.2778999274087665
180.0,0.6796875,-0.2649568265193675
180.0,0.68359375,-0.25176531121220697
180.0,0.6875,-0.23833313243787646
180.0,0.69140625,-0.22466880540771852
180.0,0.6953125,-0.21078162887544502
180.0,0.69921875,-0.19668169841975847
180.0,0.703125,-0.18237991286785546
180.0,0.70703125,-0.16788797304874095
180.0,0.7109375,-0.15321837214755585
180.0,0.71484375,-0.13838437704937062
180.0,0.71875,-0.12340000021334807
180.0,0.72265625,-0.10827996180409726
180.0,0.7265625,-0.09303964202257735
180.0,0.73046875,-0.0776950238179898
180.0,0.734375,-0.06226262641654023
180.0,0.73828125,-0.04675943036273583
180.0,0.7421875,-0.03120279502272452
180.0,0.74609375,-0.01561036973501844
180.0,0.75,-1.1685806385620865e-16
180.0,0.75390625,0.015610369735018203
180.0,0.7578125,0.031202795022724286
180.0,0.76171875,0.04675943036273558
180.0,0.765625,0.06226262641653999
180.0,0.76953125,0.07769502381798958
180.0,0.7734375,0.0930396420225771
180.0,0.77734375,0.10827996180409703
180.0,0.78125,0.12340000021334789
180.0,0.78515625,0.1383843770493704
180.0,0.7890625,0.1532183721475556
180.0,0.79296875,0.16788797304874073
180.0,0.796875,0.18237991286785518
180.0,0.80078125,0.19668169841975824
180.0,0.8046875,0.2107816288754448
180.0,0.80859375,0.2246688054077183
180.0,0.8125,0.23833313243787624
180.0,0.81640625,0.25176531121220674
180.0,0.8203125,0.2649568265193673
180.0,0.82421875,0.2778999274087663
180.0,0.828125,0.2905876027889989
180.0,0.83203125,0.30301355277802916
180.0,0.8359375,0.31517215664756465
180.0,0.83984375,0.3270584381574749
180.0,0.84375,0.33866802901658827
180.0,0.84765625,0.34999713113789666
180.0,0.8515625,0.3610424782827972
