T_K,T_over_Tc,E_star,instanton_action,gaussian_energy_width,exact_flux,classical_TST_flux,thermal_WKB_flux,instanton_flux,exact_over_TST,WKB_over_TST,instanton_over_TST,instanton_over_exact,WKB_over_exact
138.0,0.554663150968454,0.00307651211042254,18.344128387571182,0.001639815422082252,8.524169274016738e-12,8.029478194344441e-15,7.053278640922449e-12,7.062383524016417e-12,1061.6093683423578,878.4230394809993,879.5569715838825,0.8285128200754862,0.8274446945137706
140.0,0.5627017473593011,0.0031663325648121085,18.242103005496148,0.0016755924331394317,9.633422781722994e-12,1.129542233962028e-14,7.978401808457774e-12,7.991600818111499e-12,852.8607866155132,706.3393973744929,707.507924699711,0.829570236787859,0.828200110099475
142.0,0.5707403437501484,0.003257445399840376,18.14007762342112,0.0017116259156976467,1.0881548161931808e-11,1.5740913646550294e-14,9.021363758515316e-12,9.040309648571657e-12,691.290760261337,573.1156374453776,574.3192454748578,0.8307925962408942,0.8290514938008369
144.0,0.5787789401409955,0.003349850615507341,18.038052241346087,0.0017479140571238787,1.2285055244162873e-11,2.1738962677701087e-14,1.0196651786888814e-11,1.0223593853328442e-11,565.1169021401544,469.04960177093045,470.2889463909598,0.8321976295699676,0.8300045530306961
146.0,0.5868175365318427,0.003443548211813005,17.936026859271053,0.0017844550826837532,1.3862264431954211e-11,2.976384191739289e-14,1.1520438023050498e-11,1.155841262095098e-11,465.74177051564084,387.0615243497305,388.3373877952453,0.8338040785246766,0.8310646561101867
148.0,0.5948561329226898,0.0035385381887573677,17.83400147719602,0.0018212472542389945,1.563347987338075e-11,4.041398879196943e-14,1.3010756530718836e-11,1.3063830714901078e-11,386.83337974516496,321.9369559805533,323.25021868410477,0.835631658511613,0.8322367531794603
150.0,0.6028947293135369,0.003634820546340431,17.731976095120988,0.001858288869006715,1.762117548320866e-11,5.443901078947394e-14,1.468769565981518e-11,1.4761276660130405e-11,323.68654807768485,269.8009285402945,271.15255119559544,0.8377010191060481,0.8335253044730861
152.0,0.6109333257043841,0.003732395284562192,17.629950713045957,0.0018955782583767993,1.9850194323217803e-11,7.277131621641754e-14,1.6573606463772137e-11,1.6674832257331206e-11,272.774979968543,227.7491644439029,229.14017671112686,0.8400337037420067,0.8349342174644002
154.0,0.6189719220952312,0.00383126240342265,17.527925330970923,0.0019331137867839472,2.234796182367439e-11,9.656292758097173e-14,1.869332798047771e-11,1.8831557191984958e-11,231.43417855610025,193.58700537328508,195.01849895959268,0.8426521103161937,0.836466794062395
156.0,0.6270105184860785,0.003931421902921809,17.425899948895896,0.001970893850631161,2.5144713301591066e-11,1.2722806597324334e-13,2.1074430152958264e-11,2.1261852954839686e-11,197.6349566366836,165.64293414151493,167.11605880506863,0.8455794544093813,0.8381256886959515
158.0,0.6350491148769256,0.004032873783059665,17.323874566820862,0.0020089168772616938,2.827373620030303e-11,1.6649212362875878e-13,2.3747475137185105e-11,2.399987079320169e-11,169.82026286929533,142.6342256894795,144.15018722877355,0.8488397367499123,0.839912877765712
160.0,0.6430877112677728,0.0041356180438362235,17.221849184745828,0.0020471813239767104,3.1771627440248224e-11,2.1644766763778808e-13,2.6746297709180768e-11,2.7083968974721146e-11,146.78664726208137,123.56935050896026,125.12941012625976,0.8524577164218927,0.8418296405962076
162.0,0.6511263076586199,0.0042396546852514795,17.119823802670794,0.0020856856770960506,3.567856623281347e-11,2.7961814005820383e-13,3.0108305442014575e-11,3.0557225274207584e-11,127.59746640681756,107.6765099565693,109.28198459458659,0.8564588911676668,0.843876551696297
164.0,0.659164904049467,0.004344983707305431,17.017798420595764,0.0021244284510597185,4.00386026679413e-11,3.5902993809901296e-13,3.387479927551638e-11,3.4468011297243315e-11,111.51884124186738,94.3509041470921,96.00316753456298,0.8608694859584016,0.8460534838454729
166.0,0.6672035004403142,0.004451605109998084,16.915773038520733,0.0021634081875678488,4.48999623421241e-11,4.582935722058631e-13,3.809131504785458e-11,3.8870636040736257e-11,97.97205342857235,83.11553414225972,84.81601837364582,0.8657164508191298,0.8483596212756329
168.0,0.6752420968311614,0.004559518893329437,16.8137476564457,0.0022026234547570405,5.031536724672829e-11,5.81694609489221e-13,4.280798649886006e-11,4.38260669698276e-11,86.49790874099659,73.59185696503056,75.34205449885593,0.8710274687039545,0.8507934820180332
170.0,0.6832806932220086,0.004668725057299486,16.71172227437067,0.0022420728464111308,5.634237308758047e-11,7.342951147352807e-13,4.807993019050584e-11,4.940273787366817e-11,76.72987598166488,65.47766589437143,67.27913189437227,0.8768309740321889,0.8533529483355057
172.0,0.6913192896128557,0.004779223601908235,16.609696892295634,0.002281754981204558,6.30437231557276e-11,9.220463010310741e-13,5.3967652720724895e-11,5.567745386168661e-11,68.37370648874058,58.53030662383853,60.38466159391947,0.8831561823237314,0.8560353040605894
174.0,0.6993578860037029,0.004891014527155685,16.507671510220604,0.0023216685019766207,7.048771881658335e-11,1.1519130966803015e-12,6.053748053324164e-11,6.273640509070158e-11,61.191872042884064,52.55386079705545,54.46279347938801,0.8900331312174887,0.8588372776081277
176.0,0.70739648239455,0.005004097833041831,16.40564612814557,0.002361812075035006,7.874860663061804e-11,1.4320113245061766e-12,6.786201254884091e-11,7.06763021868052e-11,54.99160885321503,47.38929880477227,49.3545693231006,0.897492733024761,0.8617550894221875
178.0,0.7154350787853971,0.005118473519566677,16.303620746070536,0.0024021843894871204,8.790698206370221e-11,1.7717581738141943e-12,7.602059576302443e-11,7.960564786131318e-11,49.615677445674415,42.90686894327644,44.93031218246915,0.9055668388618616,0.8647845026454867
180.0,0.7234736751762444,0.005234141586730219,16.201595363995505,0.002442784156597777,9.805020968948522e-11,2.1820366242598397e-12,8.50998238719565e-11,8.96461609362365e-11,44.93518055534217,39.000181264520656,41.083710483844435,0.9142883143252476,0.8679208758600186
182.0,0.7315122715670915,0.005351102034532464,16.099569981920475,0.0024836101091719456,1.0927285973016074e-10,2.675374454731451e-12,9.519405890346401e-11,1.0093437091282388e-10,40.84394972707824,35.581583256546196,37.72719393889685,0.9236911266170942,0.8711592168314892
184.0,0.7395508679579387,0.005469354862973406,15.99754459984544,0.002524661000961302,1.2167716072593717e-10,3.266138439265357e-12,1.0640597574333298e-10,1.1362340336040647e-10,37.25413450426359,32.578525902063895,34.78829984498864,0.9338104429994812,0.8744942362930324
